run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores
bfs_ampm_ls32_l2_ddr4_1x,bfs,ampm,stage1,ls32,l2,ddr4_1x,0.022106,22106251620.0,30729211.0,31124590.0,66385140.0,0.462893,6729284.0,11468150.0,1293881.0,3523305.0,222193293622.0,33018.861089,105380990350.0,81445.65872,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1332116.0,263925.0,252224.0,0.198125,0.182071,707954.0,452324.0,255617.0,13.0,1365489.0,16191.0,0.0,12184.0,703.0,141685.0,34491.0,1026221.0,78259.0,13.113137,733282.0,27008.0,27.150548,3206205.0,3523079.0,0.307206,34711.636539,108237.0,1185644.0,0.336515,83900.567363,6.75,57.8,0.0,0.0,5239538660.421707,457398213.5828055,5239538660.0,457398214.0,5696936874.0,19207.0,5222.185379,457.102913,37694.11,3332.0,55186.11,nan,nan,nan,nan,39865024.0,1803337114.1009388,623691.0,51651.06,8774099.0,57.356227,105.171246,165933.0,2.0,1812.0,12815374.0
bfs_ampm_ls32_l2_ddr4_2x,bfs,ampm,stage1,ls32,l2,ddr4_2x,0.019509,19508847291.0,30729211.0,31124590.0,58585127.0,0.524523,6645744.0,11371668.0,1280912.0,3523477.0,182200450166.0,27416.110245,83422040782.0,65127.066326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1543765.0,280947.0,267429.0,0.181988,0.192315,894629.0,579629.0,314980.0,20.0,1595401.0,32856.0,0.0,13231.0,1231.0,178477.0,51200.0,693066.0,65279.0,10.616982,473756.0,21504.0,22.031064,3122511.0,3523233.0,0.309826,28471.832269,100989.0,1179923.0,0.334875,67483.88388,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,49.243914,90.041672,54086.0,2.0,1700.0,12703000.0
bfs_ampm_ls4_l1d_ddr4_1x,bfs,ampm,stage1,ls4,l1d,ddr4_1x,0.021057,21056988933.0,30729211.0,31124590.0,63234201.0,0.485959,5772796.0,11489964.0,1639796.0,5604002.0,218827761162.0,37906.719926,132133641912.0,80579.31713,4634427.0,309743.0,1891075.0,0.066835,0.089656,2175715.0,702309.0,1472789.0,617.0,7929160.0,1920371.0,0.0,306890.0,318307.0,261579.0,28261.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3399636.0,679344.0,5.004292,0.0,0.0,nan,2627728.0,3145068.0,0.273723,35276.364246,nan,1639796.0,0.292612,80246.31713,6.06,57.5,0.0,0.0,4983951330.075005,478992700.8126618,4983948291.0,478992701.0,5462940992.0,19207.0,4965.69079,478.606701,35740.89,3332.0,53232.89,33512832.0,1591530114.140845,525149.0,51689.36,nan,nan,nan,nan,8774099.0,57.029814,102.261903,133974.0,2.0,1765.0,12864342.0
bfs_ampm_ls4_l1d_ddr4_2x,bfs,ampm,stage1,ls4,l1d,ddr4_2x,0.01888,18879817950.0,30729211.0,31124590.0,56696150.0,0.541999,5653223.0,11376454.0,1638629.0,5629968.0,182947136047.0,32361.563669,106073392738.0,64733.013231,4711079.0,322537.0,1914883.0,0.068464,0.09317,2220622.0,762009.0,1457988.0,625.0,8038338.0,1965035.0,0.0,300848.0,322840.0,270113.0,30646.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2455750.0,621492.0,3.951378,0.0,0.0,nan,2513938.0,3139285.0,0.275946,29800.9395,nan,1638629.0,0.291055,64400.013231,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,49.953758,88.890911,50070.0,2.0,1759.0,12723763.0
bfs_ampm_ls4_l2_ddr4_1x,bfs,ampm,stage1,ls4,l2,ddr4_1x,0.021828,21827920563.0,30729211.0,31124590.0,65549311.0,0.468796,6803755.0,11450604.0,1323339.0,3523321.0,221619941878.0,32573.180821,103632025588.0,78311.019012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,817212.0,191388.0,133419.0,0.234196,0.137113,373590.0,188941.0,184641.0,8.0,829731.0,3787.0,0.0,5818.0,1.0,23066.0,9463.0,1018268.0,80587.0,12.635636,142968.0,5096.0,28.054945,3280665.0,3523090.0,0.307677,34140.281773,118888.0,1204451.0,0.341851,81521.694844,6.02,57.48,0.0,0.0,4832140729.831553,460474463.01584744,4832146594.0,460474463.0,5292621057.0,19207.0,4815.630499,460.213513,34760.59,3332.0,52252.59,nan,nan,nan,nan,28337152.0,1298206666.9251878,443198.0,45759.45,8774099.0,57.839913,104.445451,140854.0,2.0,1812.0,12803071.0
bfs_ampm_ls4_l2_ddr4_2x,bfs,ampm,stage1,ls4,l2,ddr4_2x,0.019449,19449470394.0,30729211.0,31124590.0,58406818.0,0.526124,6680625.0,11364984.0,1302015.0,3523513.0,183921249311.0,27530.545317,83198404341.0,63899.727992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,972676.0,215841.0,140973.0,0.221904,0.151978,518295.0,272678.0,245609.0,8.0,986900.0,5073.0,0.0,5875.0,6.0,31144.0,15831.0,681636.0,66823.0,10.20062,95346.0,4129.0,23.09179,3157340.0,3523285.0,0.310012,28364.126867,97648.0,1204367.0,0.341809,66115.814051,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,49.758432,89.639884,49934.0,2.0,1635.0,12706779.0
bfs_ampm_ls64_l1d_ddr4_1x,bfs,ampm,stage1,ls64,l1d,ddr4_1x,0.021119,21118979880.0,30729211.0,31124590.0,63420360.0,0.484533,5557871.0,11500859.0,1795457.0,6339301.0,215576918092.0,38787.679328,147429398308.0,82112.464018,5840359.0,376362.0,2592626.0,0.064442,0.106843,2647480.0,1424527.0,1221883.0,1070.0,13562558.0,4948068.0,0.0,520168.0,1520558.0,1810163.0,252071.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4556818.0,880665.0,5.174292,0.0,0.0,nan,2411673.0,3146198.0,0.273562,34800.747105,nan,1795457.0,0.283226,81779.464018,6.53,57.63,0.0,0.0,5441044626.820299,480747463.07301277,5441041596.0,480747463.0,5921789059.0,19207.0,5420.064826,480.380779,37232.6,3332.0,54724.6,45606464.0,2159501276.0625825,714954.0,55085.22,nan,nan,nan,nan,8774099.0,56.315267,102.003055,140335.0,2.0,1758.0,12894673.0
bfs_ampm_ls64_l1d_ddr4_2x,bfs,ampm,stage1,ls64,l1d,ddr4_2x,0.018751,18750738159.0,30729211.0,31124590.0,56308523.0,0.54573,5373016.0,11372320.0,1808881.0,6430515.0,177179664541.0,32975.830435,117920870728.0,65189.954855,6222832.0,402394.0,2679813.0,0.064664,0.114,2919936.0,1713562.0,1205102.0,1272.0,14550636.0,5360899.0,0.0,508002.0,1768422.0,2130880.0,326627.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3177765.0,802367.0,3.960488,0.0,0.0,nan,2245625.0,3127391.0,0.275,29518.743748,nan,1808881.0,0.281296,64856.954855,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,48.52111,87.618934,49650.0,2.0,1641.0,12725021.0
bfs_ampm_ls8_l1d_ddr4_1x,bfs,ampm,stage1,ls8,l1d,ddr4_1x,0.020991,20991388932.0,30729211.0,31124590.0,63037204.0,0.487478,5597071.0,11498088.0,1686177.0,5894560.0,217302341761.0,38824.296094,137257171333.0,81401.401711,5224095.0,347923.0,2166519.0,0.0666,0.099734,2470352.0,1115171.0,1354377.0,804.0,10011283.0,2908625.0,0.0,402553.0,762668.0,542341.0,100331.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3848259.0,752542.0,5.11368,0.0,0.0,nan,2456476.0,3140595.0,0.273141,35208.94021,nan,1686177.0,0.286056,81068.401711,6.25,57.6,0.0,0.0,5140936235.786191,482044519.9114278,5140933187.0,482044520.0,5622977707.0,19207.0,5121.472255,481.699998,36551.83,3332.0,54043.83,37440768.0,1783625091.2832165,586815.0,53683.52,nan,nan,nan,nan,8774099.0,56.515974,101.843336,135524.0,2.0,1815.0,12876672.0
bfs_ampm_ls8_l1d_ddr4_2x,bfs,ampm,stage1,ls8,l1d,ddr4_2x,0.018735,18735226686.0,30729211.0,31124590.0,56261942.0,0.546182,5450507.0,11382922.0,1686906.0,5936563.0,180827865418.0,33176.338535,109850453324.0,65119.486992,5370458.0,364164.0,2205742.0,0.067809,0.104248,2563194.0,1234754.0,1327641.0,799.0,10229533.0,2975278.0,0.0,395009.0,800360.0,567857.0,111270.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2740559.0,681740.0,4.019947,0.0,0.0,nan,2321437.0,3129070.0,0.274892,29820.603928,nan,1686906.0,0.284155,64786.486992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,49.182716,88.460792,50280.0,2.0,1657.0,12728302.0
