benchmark,memory,pf_level,parameter_family,parameter_name,rank,config,simSeconds,baseline_simSeconds,speedup,pfIssued,pfUseful,pfUnused,accuracy,coverage,pfLate,pfTimely,run_name
bfs,ddr4_1x,l2,sd,start_degree,1,sd16,0.021979,0.027633,1.2572455525729107,1238771.0,249334.0,218399.0,0.201275,0.173221,664541.0,574230.0,bfs_ampm_sd16_l2_ddr4_1x
bfs,ddr4_1x,l2,sd,start_degree,2,sd8,0.021983,0.027633,1.2570167856980394,1228614.0,248736.0,218399.0,0.202453,0.172871,654457.0,574157.0,bfs_ampm_sd8_l2_ddr4_1x
bfs,ddr4_2x,l1d,amt,access_map_table_entries,1,amt32,0.020433,0.025169,1.2317819214016543,2839576.0,167630.0,330705.0,0.059033,0.050455,2112779.0,726797.0,bfs_ampm_amt32_l1d_ddr4_2x
bfs,ddr4_2x,l1d,amt,access_map_table_entries,2,amt64,0.020664,0.025169,1.2180120015485871,2130096.0,106727.0,242624.0,0.050104,0.032298,1539087.0,591009.0,bfs_ampm_amt64_l1d_ddr4_2x
bfs,ddr4_2x,l1d,assoc,access_map_table_assoc,1,assoc16,0.018747,0.025169,1.3425614765029072,5900024.0,381971.0,2522690.0,0.064741,0.108772,2761325.0,3138699.0,bfs_ampm_assoc16_l1d_ddr4_2x
bfs,ddr4_2x,l1d,assoc,access_map_table_assoc,2,assoc4,0.018756,0.025169,1.3419172531456602,6055356.0,387294.0,2539317.0,0.063959,0.110209,2899261.0,3156095.0,bfs_ampm_assoc4_l1d_ddr4_2x
bfs,ddr4_2x,l1d,default,default,1,default,0.018706,0.025169,1.3455041163263124,5942365.0,386079.0,2483035.0,0.064971,0.109903,2843567.0,3098798.0,bfs_ampm_default_l1d_ddr4_2x
bfs,ddr4_2x,l1d,epoch,epoch_cycles,1,epoch128k,0.018686,0.025169,1.3469442363266617,5961928.0,387384.0,2493313.0,0.064976,0.110197,2853249.0,3108679.0,bfs_ampm_epoch128k_l1d_ddr4_2x
bfs,ddr4_2x,l1d,epoch,epoch_cycles,2,epoch512k,0.018696,0.025169,1.3462237911852801,5951242.0,384338.0,2496053.0,0.064581,0.109439,2839448.0,3111794.0,bfs_ampm_epoch512k_l1d_ddr4_2x
bfs,ddr4_2x,l1d,hz,hot_zone_size,1,hz512,0.020433,0.025169,1.2317819214016543,2839576.0,167630.0,330705.0,0.059033,0.050455,2112779.0,726797.0,bfs_ampm_hz512_l1d_ddr4_2x
bfs,ddr4_2x,l1d,hz,hot_zone_size,2,hz256,0.020664,0.025169,1.2180120015485871,2130096.0,106727.0,242624.0,0.050104,0.032298,1539087.0,591009.0,bfs_ampm_hz256_l1d_ddr4_2x
bfs,ddr4_2x,l1d,ls,limit_stride,1,ls16,0.018714,0.025169,1.344928930212675,5961643.0,386194.0,2506118.0,0.06478,0.109922,2838955.0,3122688.0,bfs_ampm_ls16_l1d_ddr4_2x
bfs,ddr4_2x,l1d,ls,limit_stride,2,ls8,0.018728,0.025169,1.3439235369500213,5370403.0,364154.0,2205724.0,0.067808,0.104248,2563175.0,2807228.0,bfs_ampm_ls8_l1d_ddr4_2x
