benchmark,pf_level,memory,run,prefetcher,config,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
merge,l2,ddr4_1x,merge_stride_deg32_dist1_l2_ddr4_1x,stride,deg32_dist1,0.010253,10253269800.0,37919536.0,38898616.0,30790600.0,1.231531,905301.0,11102516.0,24016.0,201302.0,16263102279.0,17964.303893,1999565439.0,83259.720145,0.0,0.0,,28222.0,952.0,29.644958,703987.0,201314.0,0.018132,13962.736263,7605.0,16411.0,0.081524,87195.050332,5.41,48.86,0.0,1112.0,454136494.09674174,297963874.899693,454130252.0,297963875.0,752094127.0,19207.0,450.347654,297.626812,73446.3,3332.0,90938.3,5213398.0,4.094785,25.21786,10132.0,2.0,2098.0,14743618.0,,,,,,,,,,,,,,,,,683886.0,48274.0,414.0,0.070588,0.746294,627494.0,575704.0,51790.0,0.0,1164507.0,131953.0,0.0,2162.0,343135.0,442501.0,376634.0,,,,,3579008.0,349060160.3012534,56340.0,98987.48,0.011631,1.1343996878962255,683886.0,48274.0,414.0,0.07058778802315006,0.0006053640519033875,0.08154016621097417,0.11930333528727981,0.6677825425370038,627494.0,0.9175418125243096,343135.0,2162.0,131953.0,1164507.0,0.2946611742136372,0.0018565796513030836,0.11331232873653829,349060160.3012534,3579008.0,0.03734330465142294
merge,l2,ddr4_2x,merge_stride_deg32_dist1_l2_ddr4_2x,stride,deg32_dist1,0.010153,10152918252.0,37919514.0,38898593.0,30489244.0,1.243703,905218.0,11102494.0,21005.0,201302.0,11931052665.0,13180.308683,1366602494.0,65060.818567,0.0,0.0,,22491.0,1013.0,22.202369,703904.0,201314.0,0.018132,10876.922589,5909.0,15096.0,0.074992,70088.459327,,,,,,,,,,,,,,,,5213396.0,3.5258,17.730608,4659.0,2.0,1740.0,14743630.0,,,,,,,,,,,,,,,,,716213.0,51287.0,425.0,0.071609,0.772592,658509.0,600859.0,57650.0,0.0,1164058.0,133412.0,0.0,2089.0,308836.0,442886.0,401061.0,,,,,,,,,0.011697,1.1520732788338421,716213.0,51287.0,425.0,0.07160858571402641,0.0005933988911120015,0.0815328519880308,0.10434570943160028,0.7094422619376971,658509.0,0.9194317891465248,308836.0,2089.0,133412.0,1164058.0,0.2653098041506523,0.001794584118660754,0.11460940949677766,,,
quick,l1d,ddr4_1x,quick_stride_deg8_dist1_l1d_ddr4_1x,stride,deg8_dist1,0.008261,8261090973.0,24424709.0,24707880.0,24808081.0,0.98498,14295.0,9144877.0,28515.0,83998.0,576426996.0,40323.679328,1941637208.0,68091.783553,0.0,0.0,9.0,0.0,0.0,,10761.0,3534.0,0.000386,24934.387946,,28515.0,0.339472,67758.783553,1.34,57.69,0.0,0.0,220918036.85067588,175186546.756359,220910290.0,175186547.0,396096836.0,19207.0,220.91029,174.775947,22601.85,3332.0,40093.85,4368780.0,2.324714,8.211548,525.0,2.0,1233.0,14142579.0,603831.0,79577.0,589.0,0.131787,0.957479,523601.0,497514.0,26086.0,1.0,603937.0,100.0,0.0,0.0,0.0,56799.0,56403.0,,,,,,,,,,,,,,,,,1746432.0,211404523.4107604,27288.0,39825.7,,,,,0.009731,1.1779445587701247,603831.0,79577.0,589.0,0.13178687414193707,0.0009754384918959113,0.0015631702864893646,0.33947236838972356,0.8477181694221919,523601.0,0.8671316974451461,0.0,0.0,100.0,603937.0,0.0,0.0,0.000165580184688138,211404523.4107604,1746432.0,0.019667172348777972
quick,l1d,ddr4_2x,quick_stride_deg8_dist1_l1d_ddr4_2x,stride,deg8_dist1,0.008256,8256362040.0,24424718.0,24707897.0,24793880.0,0.985545,13305.0,9141678.0,28515.0,84005.0,476968554.0,35848.820293,1674039808.0,58707.340277,0.0,0.0,9.0,0.0,0.0,,9759.0,3546.0,0.000388,22088.812183,,28515.0,0.339444,58374.340277,,,,,,,,,,,,,,,,4368783.0,2.287619,6.866713,314.0,2.0,1255.0,14147944.0,603812.0,79580.0,592.0,0.131796,0.957342,523587.0,502582.0,21005.0,0.0,603946.0,126.0,0.0,0.0,0.0,56814.0,56419.0,,,,,,,,,,,,,,,,,,,,,,,,,0.00967,1.1712693798449614,603812.0,79580.0,592.0,0.13179598948016932,0.0009804376196564494,0.0014554220789662466,0.33944408070948157,0.8567583571082521,523587.0,0.867135797234901,0.0,0.0,126.0,603946.0,0.0,0.0,0.0002086279236885417,,,
quick,l2,ddr4_1x,quick_stride_default_l2_ddr4_1x,stride,default,0.008587,8587084320.0,24424718.0,24707897.0,25787040.0,0.947588,229838.0,9217302.0,1447.0,82818.0,1516986162.0,6600.240874,113490396.0,78431.510712,0.0,0.0,,0.0,0.0,11.0,147254.0,82584.0,0.00896,5492.810484,657.0,790.0,0.009539,73685.734177,1.36,55.49,0.0,0.0,212412028.58015025,168528448.78085464,212404576.0,168528449.0,380933024.0,19207.0,212.412029,168.118531,17784.1,3332.0,35276.1,4368783.0,2.683739,9.208985,468.0,2.0,1418.0,14610188.0,,,,,,,,,,,,,,,,,108165.0,27041.0,8.0,0.249998,0.971614,80452.0,63379.0,17073.0,0.0,108165.0,0.0,0.0,0.0,0.0,4427.0,4330.0,,,,,1773376.0,206516663.15534675,27709.0,34956.73,0.009731,1.1332246419005474,108165.0,27041.0,8.0,0.24999768871631303,7.39610779827116e-05,0.024935496309006693,0.017472047139510734,0.9492066835158663,80452.0,0.7437895807331392,0.0,0.0,0.0,108165.0,0.0,0.0,0.0,206516663.15534675,1773376.0,0.01891425216117903
quick,l2,ddr4_2x,quick_stride_deg8_dist1_l2_ddr4_2x,stride,deg8_dist1,0.008573,8572629789.0,24424718.0,24707897.0,25743633.0,0.949185,228263.0,9216047.0,1291.0,82821.0,1362987981.0,5971.12971,93287619.0,72259.968242,0.0,0.0,,0.0,0.0,340.666667,145676.0,82587.0,0.008961,5256.611464,52.0,1239.0,0.01496,67337.491525,,,,,,,,,,,,,,,,4368783.0,2.649623,7.739403,322.0,2.0,1302.0,14611323.0,,,,,,,,,,,,,,,,,205788.0,27203.0,19.0,0.132189,0.956438,178499.0,162677.0,15822.0,0.0,205788.0,0.0,0.0,0.0,0.0,19436.0,19370.0,,,,,,,,,0.00967,1.1279598740230956,205788.0,27203.0,19.0,0.13218943767372246,9.232802690147142e-05,0.02476799434725105,0.01558783400345323,0.9546922159051028,178499.0,0.8673926565203024,0.0,0.0,0.0,205788.0,0.0,0.0,0.0,,,
simple_triad,l1d,ddr4_1x,simple_triad_stride_deg4_dist1_l1d_ddr4_1x,stride,deg4_dist1,0.002456,2455950591.0,3509957.0,4011166.0,7375228.0,0.475914,1975949.0,2003765.0,375386.0,375396.0,110431587189.0,55887.873214,34128837307.0,90916.649281,21855.0,1943.0,11.24807,0.0,0.0,,1959817.0,16132.0,0.008051,121863.715596,,375386.0,0.999973,90583.650168,10.26,58.88,0.0,0.0,9782242398.540174,3330803164.35405,9782216339.0,3330803164.0,13113019504.0,19207.0,9782.242399,3330.698928,45299.79,3332.0,62791.79,1001741.0,165.560619,154.380739,160281.0,2.0,1881.0,2004880.0,374212.0,1807.0,5.0,0.004829,0.10073,15215.0,230.0,14985.0,0.0,1417968.0,953614.0,0.0,77399.0,0.0,82032.0,113.0,,,,,,,,,,,,,,,,,22975808.0,9355158888.047842,358997.0,61431.7,,,,,0.002897,1.1795602605863191,374212.0,1807.0,5.0,0.0048288136136735325,1.3361410109777345e-05,0.9861181326153516,0.9999733614636277,0.000913661745938326,15215.0,0.04065877096405246,0.0,77399.0,953614.0,1417968.0,0.0,0.05458444760389515,0.6725215237579409,9355158888.047842,22975808.0,0.6510933467745625
simple_triad,l1d,ddr4_2x,simple_triad_stride_deg1_dist8_l1d_ddr4_2x,stride,deg1_dist8,0.001824,1823597577.0,3510110.0,4011355.0,5476269.0,0.640971,1746464.0,2003828.0,375396.0,375406.0,72412317654.0,41462.244658,25333121572.0,67483.728042,232914.0,16651.0,13.987989,0.0,0.0,,1692032.0,54432.0,0.027164,67241.402925,,375396.0,0.999973,67150.728929,,,,,,,,,,,,,,,,1001762.0,115.16006,124.881378,64020.0,2.0,1673.0,2004980.0,320707.0,51040.0,12.0,0.159148,0.48392,0.0,0.0,0.0,0.0,322670.0,402.0,0.0,1561.0,0.0,52734.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,0.002605,1.4281798245614035,320707.0,51040.0,12.0,0.15914838154452507,3.741733108413599e-05,0.871563826835437,0.9999733621732204,0.028394929858292388,0.0,0.0,0.0,1561.0,402.0,322670.0,0.0,0.004837759940496482,0.0012458548981932004,,,
simple_triad,l2,ddr4_1x,simple_triad_stride_deg4_dist4_l2_ddr4_1x,stride,deg4_dist4,0.002364,2364466833.0,3510082.0,4011325.0,7100501.0,0.494345,1925586.0,2003826.0,301979.0,375368.0,87110053083.0,45238.204413,17822831823.0,59020.103461,0.0,0.0,,172636.0,4772.0,36.176865,1550479.0,375107.0,0.187195,49070.008659,272303.0,29676.0,0.079058,136560.605641,14.8,95.86,0.0,0.0,10160700782.390717,3459486039.658904,10160673715.0,3459486040.0,13620159755.0,19207.0,10160.700782,3459.594309,69555.2,3332.0,87047.2,1001763.0,134.778094,153.677892,119996.0,2.0,1888.0,2004959.0,,,,,,,,,,,,,,,,,559192.0,73379.0,8.0,0.131223,0.712037,213483.0,9575.0,203908.0,0.0,1347646.0,769928.0,0.0,4392.0,0.0,152326.0,5133.0,,,,,22125376.0,9357448237.8878,345709.0,85130.31,0.002897,1.2254653130287647,559192.0,73379.0,8.0,0.131223264996638,1.430635631411036e-05,0.9609546936710074,0.8044878625775239,0.1954907048737472,213483.0,0.3817704831256527,0.0,4392.0,769928.0,1347646.0,0.0,0.0032590160917629705,0.5713132380461932,9357448237.8878,22125376.0,0.6762740950535504
simple_triad,l2,ddr4_2x,simple_triad_stride_deg8_dist4_l2_ddr4_2x,stride,deg8_dist4,0.001588,1588193550.0,3510133.0,4011378.0,4769350.0,0.735981,1910430.0,2003830.0,196608.0,374476.0,44386384185.0,23233.713973,7941938630.0,40394.788767,0.0,0.0,,209615.0,9430.0,22.228526,1535321.0,375109.0,0.187196,24256.755498,155175.0,41433.0,0.110643,93098.927956,,,,,,,,,,,,,,,,1001767.0,67.580901,115.116909,38334.0,2.0,1929.0,2004983.0,,,,,,,,,,,,,,,,,688308.0,177858.0,397.0,0.258399,0.811059,354392.0,130711.0,223681.0,0.0,2598781.0,1791697.0,0.0,43210.0,53994.0,393963.0,166841.0,,,,,,,,,0.002605,1.6404282115869018,688308.0,177858.0,397.0,0.2583988563259471,0.0005767766755580351,0.9533892595679274,0.5250216302246339,0.4749643492333082,354392.0,0.5148741551747182,53994.0,43210.0,1791697.0,2598781.0,0.02077666413599299,0.01662702628655512,0.6894374708757683,,,
