run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_stride_deg1_dist16_l2_ddr4_2x,bfs,stride,deg1_dist16,l2,ddr4_2x,0.021883,21882813282.0,30729211.0,65714154.0,0.46762,7020931.0,11382409.0,1348161.0,3528935.0,nan,nan,nan,218446.0,139628.0,67441.0
bfs_stride_deg1_dist1_l1d_ddr4_1x,bfs,stride,deg1_dist1,l1d,ddr4_1x,0.021459,21458557296.0,30729211.0,64440112.0,0.476865,5934751.0,11432988.0,1515775.0,3617368.0,524479.0,172109.0,85902.0,nan,nan,nan
bfs_stride_deg1_dist1_l1d_ddr4_2x,bfs,stride,deg1_dist1,l1d,ddr4_2x,0.019381,19381493106.0,30729211.0,58202682.0,0.52797,5853428.0,11349866.0,1516311.0,3625027.0,517569.0,173090.0,86315.0,nan,nan,nan
bfs_stride_deg1_dist1_l2_ddr4_1x,bfs,stride,deg1_dist1,l2,ddr4_1x,0.021653,21653110881.0,30729211.0,65024357.0,0.472581,6806598.0,11435890.0,1326358.0,3529248.0,nan,nan,nan,290342.0,149682.0,41049.0
bfs_stride_deg1_dist1_l2_ddr4_2x,bfs,stride,deg1_dist1,l2,ddr4_2x,0.019511,19511096040.0,30729211.0,58591880.0,0.524463,6724211.0,11362118.0,1326783.0,3523185.0,nan,nan,nan,289728.0,149073.0,40506.0
bfs_stride_deg1_dist32_l1d_ddr4_1x,bfs,stride,deg1_dist32,l1d,ddr4_1x,0.025297,25297080264.0,30729211.0,75967208.0,0.404507,7063716.0,11443953.0,1525933.0,3681274.0,244468.0,92675.0,138250.0,nan,nan,nan
bfs_stride_deg1_dist32_l1d_ddr4_2x,bfs,stride,deg1_dist32,l1d,ddr4_2x,0.022877,22877021412.0,30729211.0,68699764.0,0.447298,6942835.0,11368416.0,1526110.0,3681748.0,247489.0,93698.0,138362.0,nan,nan,nan
bfs_stride_deg1_dist32_l2_ddr4_1x,bfs,stride,deg1_dist32,l2,ddr4_1x,0.025629,25628846832.0,30729211.0,76963504.0,0.39927,7363037.0,11459282.0,1383069.0,3528581.0,nan,nan,nan,143544.0,97002.0,46189.0
bfs_stride_deg1_dist32_l2_ddr4_2x,bfs,stride,deg1_dist32,l2,ddr4_2x,0.023075,23075201034.0,30729211.0,69294898.0,0.443456,7232773.0,11383941.0,1383230.0,3528772.0,nan,nan,nan,143546.0,97027.0,46178.0
bfs_stride_deg1_dist4_l1d_ddr4_1x,bfs,stride,deg1_dist4,l1d,ddr4_1x,0.022262,22262137578.0,30729211.0,66853266.0,0.459652,5666052.0,11439388.0,1546126.0,3654136.0,449593.0,208578.0,110455.0,nan,nan,nan
bfs_stride_deg1_dist4_l1d_ddr4_2x,bfs,stride,deg1_dist4,l1d,ddr4_2x,0.020102,20102281263.0,30729211.0,60367211.0,0.509039,5561524.0,11361263.0,1547329.0,3655702.0,457810.0,211951.0,111465.0,nan,nan,nan
bfs_stride_deg1_dist4_l2_ddr4_1x,bfs,stride,deg1_dist4,l2,ddr4_1x,0.022774,22774326543.0,30729211.0,68391371.0,0.449315,6848796.0,11446369.0,1314598.0,3522625.0,nan,nan,nan,273440.0,170415.0,64781.0
bfs_stride_deg1_dist4_l2_ddr4_2x,bfs,stride,deg1_dist4,l2,ddr4_2x,0.020549,20549103327.0,30729211.0,61709019.0,0.49797,6784324.0,11370764.0,1312562.0,3529144.0,nan,nan,nan,273318.0,172711.0,64577.0
bfs_stride_deg1_dist8_l1d_ddr4_1x,bfs,stride,deg1_dist8,l1d,ddr4_1x,0.022973,22973250420.0,30729211.0,68988740.0,0.445424,5836557.0,11444192.0,1559492.0,3669592.0,420140.0,218676.0,122387.0,nan,nan,nan
bfs_stride_deg1_dist8_l1d_ddr4_2x,bfs,stride,deg1_dist8,l1d,ddr4_2x,0.020696,20695979970.0,30729211.0,62150090.0,0.494436,5710177.0,11358227.0,1559232.0,3669851.0,422344.0,223930.0,122248.0,nan,nan,nan
bfs_stride_deg1_dist8_l2_ddr4_1x,bfs,stride,deg1_dist8,l2,ddr4_1x,0.023504,23504200938.0,30729211.0,70583186.0,0.435362,6966581.0,11459327.0,1331127.0,3528790.0,nan,nan,nan,255462.0,157221.0,72261.0
