run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
quick_imp3_s64_dist8_addr16_l2_ddr4_2x,quick,imp,stage3,s64_dist8_addr16,l2,ddr4_2x,0.009118,9117588285.0,24424718.0,27380145.0,0.892452,274945.0,9249248.0,14307.0,82820.0,nan,nan,nan,431589.0,14195.0,75.0
quick_imp3_s64_ipd16_addr16_l2_ddr4_1x,quick,imp,stage3,s64_ipd16_addr16,l2,ddr4_1x,0.009208,9207651465.0,24424723.0,27650605.0,0.883723,276429.0,9250449.0,14225.0,82826.0,nan,nan,nan,428071.0,14280.0,75.0
quick_imp3_s64_ipd8_addr8_l1d_ddr4_1x,quick,imp,stage3,s64_ipd8_addr8,l1d,ddr4_1x,0.008574,8574307110.0,24424718.0,25748670.0,0.949,61833.0,9162792.0,28526.0,88458.0,562922.0,64160.0,3343.0,nan,nan,nan
quick_imp3_s64_ipd8_addr8_l1d_ddr4_2x,quick,imp,stage3,s64_ipd8_addr8,l1d,ddr4_2x,0.00853,8529559902.0,24424723.0,25614294.0,0.953978,62716.0,9163570.0,28565.0,88446.0,574801.0,64072.0,3333.0,nan,nan,nan
quick_imp3_s64_l2_ddr4_1x,quick,imp,stage3,s64,l2,ddr4_1x,0.009208,9207651465.0,24424723.0,27650605.0,0.883723,276429.0,9250449.0,14225.0,82826.0,nan,nan,nan,428071.0,14280.0,75.0
quick_imp3_s64_l2_ddr4_2x,quick,imp,stage3,s64,l2,ddr4_2x,0.009118,9117588285.0,24424718.0,27380145.0,0.892452,274945.0,9249248.0,14307.0,82820.0,nan,nan,nan,431589.0,14195.0,75.0
quick_imp3_s64_sth2_dist32_ipd16_l2_ddr4_2x,quick,imp,stage3,s64_sth2_dist32_ipd16,l2,ddr4_2x,0.009114,9114279597.0,24424718.0,27370209.0,0.892776,274941.0,9249244.0,14279.0,82821.0,nan,nan,nan,430967.0,14224.0,152.0
quick_imp3_s64_sth2_pt8_l1d_ddr4_1x,quick,imp,stage3,s64_sth2_pt8,l1d,ddr4_1x,0.008574,8574048369.0,24424718.0,25747893.0,0.949028,61762.0,9162753.0,28535.0,88453.0,566247.0,64188.0,3334.0,nan,nan,nan
simple_triad_imp3_s32_l2_ddr4_1x,simple_triad,imp,stage3,s32,l2,ddr4_1x,0.002905,2905487937.0,3509962.0,8725190.0,0.402281,1855130.0,2003754.0,178025.0,372154.0,nan,nan,nan,544006.0,194119.0,367.0
simple_triad_imp3_s32_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,simple_triad,imp,stage3,s32_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.002066,2065527405.0,3510106.0,6202785.0,0.565895,1419061.0,2003798.0,375412.0,375422.0,575459.0,139125.0,2.0,nan,nan,nan
simple_triad_imp3_s32_sth2_dist32_ipd16_l2_ddr4_2x,simple_triad,imp,stage3,s32_sth2_dist32_ipd16,l2,ddr4_2x,0.001765,1764783783.0,3510115.0,5299651.0,0.662333,1904487.0,2003830.0,139906.0,373481.0,nan,nan,nan,572652.0,233565.0,647.0
simple_triad_imp3_s32_sth2_l1d_ddr4_2x,simple_triad,imp,stage3,s32_sth2,l1d,ddr4_2x,0.002066,2065527405.0,3510106.0,6202785.0,0.565895,1419061.0,2003798.0,375412.0,375422.0,575459.0,139125.0,2.0,nan,nan,nan
simple_triad_imp3_s32_sth2_l2_ddr4_1x,simple_triad,imp,stage3,s32_sth2,l2,ddr4_1x,0.002899,2899447983.0,3509996.0,8707052.0,0.403123,1854587.0,2003782.0,178136.0,372167.0,nan,nan,nan,543370.0,194020.0,388.0
simple_triad_imp3_s32_sth2_l2_ddr4_2x,simple_triad,imp,stage3,s32_sth2,l2,ddr4_2x,0.001765,1764783783.0,3510115.0,5299651.0,0.662333,1904487.0,2003830.0,139906.0,373481.0,nan,nan,nan,572652.0,233565.0,647.0
simple_triad_imp3_s32_sth2_pt8_l2_ddr4_2x,simple_triad,imp,stage3,s32_sth2_pt8,l2,ddr4_2x,0.001765,1764783783.0,3510115.0,5299651.0,0.662333,1904487.0,2003830.0,139906.0,373481.0,nan,nan,nan,572652.0,233565.0,647.0
simple_triad_imp3_s32_sth8_ipd8_pt8_l1d_ddr4_1x,simple_triad,imp,stage3,s32_sth8_ipd8_pt8,l1d,ddr4_1x,0.002919,2918625786.0,3509939.0,8764643.0,0.400468,1506870.0,2003757.0,375414.0,375424.0,521554.0,118169.0,5.0,nan,nan,nan
simple_triad_imp3_s32_sth8_l1d_ddr4_1x,simple_triad,imp,stage3,s32_sth8,l1d,ddr4_1x,0.002919,2918625786.0,3509939.0,8764643.0,0.400468,1506870.0,2003757.0,375414.0,375424.0,521554.0,118169.0,5.0,nan,nan,nan
simple_triad_imp3_s32_sth8_l1d_ddr4_2x,simple_triad,imp,stage3,s32_sth8,l1d,ddr4_2x,0.002059,2059492113.0,3510138.0,6184661.0,0.567558,1423829.0,2003822.0,375413.0,375423.0,570418.0,138120.0,3.0,nan,nan,nan
simple_triad_imp3_s32_sth8_pt8_l1d_ddr4_1x,simple_triad,imp,stage3,s32_sth8_pt8,l1d,ddr4_1x,0.002919,2918625786.0,3509939.0,8764643.0,0.400468,1506870.0,2003756.0,375414.0,375424.0,521554.0,118169.0,5.0,nan,nan,nan
simple_triad_imp3_s64_ipd8_addr8_l2_ddr4_2x,simple_triad,imp,stage3,s64_ipd8_addr8,l2,ddr4_2x,0.002119,2119175037.0,3510140.0,6363889.0,0.551574,1946425.0,2003839.0,171420.0,367780.0,nan,nan,nan,1577201.0,196349.0,1427.0
simple_triad_imp3_s64_l1d_ddr4_1x,simple_triad,imp,stage3,s64,l1d,ddr4_1x,0.002878,2878299819.0,3509962.0,8643544.0,0.406081,1463924.0,2003757.0,375411.0,375421.0,429489.0,125668.0,2.0,nan,nan,nan
simple_triad_imp3_s64_l2_ddr4_1x,simple_triad,imp,stage3,s64,l2,ddr4_1x,0.002969,2969391636.0,3509888.0,8917093.0,0.393615,1953002.0,2003739.0,189922.0,370420.0,nan,nan,nan,1754349.0,180488.0,481.0
simple_triad_imp3_s64_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,simple_triad,imp,stage3,s64_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.001997,1996618383.0,3510105.0,5995851.0,0.585425,1368084.0,2003827.0,375410.0,375420.0,546229.0,150715.0,1.0,nan,nan,nan
simple_triad_imp3_s64_sth2_dist32_ipd16_addr16_l2_ddr4_2x,simple_triad,imp,stage3,s64_sth2_dist32_ipd16_addr16,l2,ddr4_2x,0.002099,2099066832.0,3510080.0,6303504.0,0.556849,1946602.0,2003831.0,172699.0,368074.0,nan,nan,nan,1626872.0,195365.0,1331.0
simple_triad_imp3_s64_sth2_dist32_ipd16_l1d_ddr4_2x,simple_triad,imp,stage3,s64_sth2_dist32_ipd16,l1d,ddr4_2x,0.001997,1996618383.0,3510105.0,5995851.0,0.585425,1368084.0,2003827.0,375410.0,375420.0,546229.0,150715.0,1.0,nan,nan,nan
simple_triad_imp3_s64_sth2_dist32_ipd16_l2_ddr4_2x,simple_triad,imp,stage3,s64_sth2_dist32_ipd16,l2,ddr4_2x,0.002099,2099066832.0,3510080.0,6303504.0,0.556849,1946602.0,2003831.0,172699.0,368074.0,nan,nan,nan,1626872.0,195365.0,1331.0
simple_triad_imp3_s64_sth2_l2_ddr4_1x,simple_triad,imp,stage3,s64_sth2,l2,ddr4_1x,0.002961,2961207828.0,3509889.0,8892517.0,0.394703,1953673.0,2003743.0,189609.0,370381.0,nan,nan,nan,1751709.0,180762.0,466.0
simple_triad_imp3_s64_sth8_l2_ddr4_1x,simple_triad,imp,stage3,s64_sth8,l2,ddr4_1x,0.002974,2973831525.0,3509865.0,8930426.0,0.393025,1953723.0,2003728.0,189817.0,370351.0,nan,nan,nan,1755313.0,180524.0,491.0
simple_triad_imp3_s64_sth8_pt8_l1d_ddr4_1x,simple_triad,imp,stage3,s64_sth8_pt8,l1d,ddr4_1x,0.002875,2875243545.0,3509934.0,8634366.0,0.40651,1455529.0,2003762.0,375409.0,375419.0,430205.0,127937.0,2.0,nan,nan,nan
simple_triad_imp3_s64_sth8_pt8_l1d_ddr4_2x,simple_triad,imp,stage3,s64_sth8_pt8,l1d,ddr4_2x,0.001992,1991676996.0,3510081.0,5981012.0,0.586874,1368674.0,2003842.0,375407.0,375417.0,545558.0,150579.0,1.0,nan,nan,nan
simple_triad_imp3_s64_sth8_pt8_l2_ddr4_1x,simple_triad,imp,stage3,s64_sth8_pt8,l2,ddr4_1x,0.002974,2973831525.0,3509865.0,8930426.0,0.393025,1953723.0,2003729.0,189817.0,370351.0,nan,nan,nan,1755313.0,180524.0,491.0
spmv_imp3_s32_dist32_addr16_l1d_ddr4_1x,spmv,imp,stage3,s32_dist32_addr16,l1d,ddr4_1x,0.005947,5947402311.0,11279576.0,17860067.0,0.632896,1965987.0,4825810.0,670330.0,3758296.0,2681006.0,154397.0,2017355.0,nan,nan,nan
spmv_imp3_s32_dist8_addr16_l1d_ddr4_1x,spmv,imp,stage3,s32_dist8_addr16,l1d,ddr4_1x,0.005947,5947402311.0,11279576.0,17860067.0,0.632896,1965987.0,4825810.0,670330.0,3758296.0,2681006.0,154397.0,2017355.0,nan,nan,nan
spmv_imp3_s32_dist8_addr16_l1d_ddr4_2x,spmv,imp,stage3,s32_dist8_addr16,l1d,ddr4_2x,0.005347,5346691956.0,11279576.0,16056132.0,0.704003,1966423.0,4825954.0,671176.0,3755065.0,2672913.0,154709.0,2014339.0,nan,nan,nan
spmv_imp3_s32_ipd16_addr16_l1d_ddr4_1x,spmv,imp,stage3,s32_ipd16_addr16,l1d,ddr4_1x,0.005947,5947402311.0,11279576.0,17860067.0,0.632896,1965987.0,4825810.0,670330.0,3758296.0,2681006.0,154397.0,2017355.0,nan,nan,nan
spmv_imp3_s32_ipd16_addr16_l1d_ddr4_2x,spmv,imp,stage3,s32_ipd16_addr16,l1d,ddr4_2x,0.005347,5346691956.0,11279576.0,16056132.0,0.704003,1966423.0,4825954.0,671176.0,3755065.0,2672913.0,154709.0,2014339.0,nan,nan,nan
spmv_imp3_s32_ipd8_addr8_l1d_ddr4_1x,spmv,imp,stage3,s32_ipd8_addr8,l1d,ddr4_1x,0.005947,5947402311.0,11279576.0,17860067.0,0.632896,1965987.0,4825810.0,670330.0,3758296.0,2681006.0,154397.0,2017355.0,nan,nan,nan
spmv_imp3_s32_l1d_ddr4_2x,spmv,imp,stage3,s32,l1d,ddr4_2x,0.005347,5346691956.0,11279576.0,16056132.0,0.704003,1966423.0,4825954.0,671176.0,3755065.0,2672913.0,154709.0,2014339.0,nan,nan,nan
spmv_imp3_s32_l2_ddr4_2x,spmv,imp,stage3,s32,l2,ddr4_2x,0.005306,5305850838.0,11279581.0,15933486.0,0.709423,2257792.0,4827545.0,344719.0,1687035.0,nan,nan,nan,378862.0,207267.0,16939.0
spmv_imp3_s32_sth2_dist32_ipd16_addr16_l2_ddr4_2x,spmv,imp,stage3,s32_sth2_dist32_ipd16_addr16,l2,ddr4_2x,0.005304,5304447909.0,11279581.0,15929273.0,0.70961,2258183.0,4827520.0,344646.0,1687026.0,nan,nan,nan,378169.0,207279.0,16856.0
spmv_imp3_s32_sth2_dist32_ipd16_l2_ddr4_2x,spmv,imp,stage3,s32_sth2_dist32_ipd16,l2,ddr4_2x,0.005304,5304447909.0,11279581.0,15929273.0,0.70961,2258183.0,4827520.0,344646.0,1687026.0,nan,nan,nan,378169.0,207279.0,16856.0
spmv_imp3_s32_sth8_l2_ddr4_1x,spmv,imp,stage3,s32_sth8,l2,ddr4_1x,0.005975,5975163855.0,11279576.0,17943435.0,0.629956,2258345.0,4827549.0,343390.0,1687040.0,nan,nan,nan,362184.0,208415.0,16822.0
spmv_imp3_s32_sth8_pt8_l2_ddr4_1x,spmv,imp,stage3,s32_sth8_pt8,l2,ddr4_1x,0.005975,5975163855.0,11279576.0,17943435.0,0.629956,2258345.0,4827549.0,343390.0,1687040.0,nan,nan,nan,362184.0,208415.0,16822.0
spmv_imp3_s64_dist32_addr16_l1d_ddr4_2x,spmv,imp,stage3,s64_dist32_addr16,l1d,ddr4_2x,0.005405,5405276313.0,11279581.0,16232061.0,0.696373,1964970.0,4826064.0,689032.0,3793542.0,2751404.0,161294.0,2052213.0,nan,nan,nan
spmv_imp3_s64_dist32_addr16_l2_ddr4_2x,spmv,imp,stage3,s64_dist32_addr16,l2,ddr4_2x,0.006896,6896186577.0,11279576.0,20709269.0,0.545822,3120225.0,4826316.0,434773.0,1686692.0,nan,nan,nan,3172149.0,123248.0,19519.0
spmv_imp3_s64_dist8_addr16_l2_ddr4_2x,spmv,imp,stage3,s64_dist8_addr16,l2,ddr4_2x,0.006896,6896186577.0,11279576.0,20709269.0,0.545822,3120225.0,4826316.0,434773.0,1686692.0,nan,nan,nan,3172149.0,123248.0,19519.0
spmv_imp3_s64_ipd16_addr16_l1d_ddr4_1x,spmv,imp,stage3,s64_ipd16_addr16,l1d,ddr4_1x,0.006022,6021581391.0,11279581.0,18082827.0,0.6251,1963440.0,4825858.0,689851.0,3795924.0,2763913.0,161436.0,2054671.0,nan,nan,nan
spmv_imp3_s64_ipd16_addr16_l1d_ddr4_2x,spmv,imp,stage3,s64_ipd16_addr16,l1d,ddr4_2x,0.005405,5405276313.0,11279581.0,16232061.0,0.696373,1964970.0,4826064.0,689032.0,3793542.0,2751404.0,161294.0,2052213.0,nan,nan,nan
spmv_imp3_s64_ipd8_addr8_l1d_ddr4_1x,spmv,imp,stage3,s64_ipd8_addr8,l1d,ddr4_1x,0.006022,6021581391.0,11279581.0,18082827.0,0.6251,1963440.0,4825858.0,689851.0,3795924.0,2763913.0,161436.0,2054671.0,nan,nan,nan
spmv_imp3_s64_ipd8_addr8_l1d_ddr4_2x,spmv,imp,stage3,s64_ipd8_addr8,l1d,ddr4_2x,0.005405,5405276313.0,11279581.0,16232061.0,0.696373,1964970.0,4826064.0,689032.0,3793542.0,2751404.0,161294.0,2052213.0,nan,nan,nan
spmv_imp3_s64_l1d_ddr4_2x,spmv,imp,stage3,s64,l1d,ddr4_2x,0.005405,5405276313.0,11279581.0,16232061.0,0.696373,1964970.0,4826064.0,689032.0,3793542.0,2751404.0,161294.0,2052213.0,nan,nan,nan
spmv_imp3_s64_sth2_dist32_ipd16_addr16_l2_ddr4_2x,spmv,imp,stage3,s64_sth2_dist32_ipd16_addr16,l2,ddr4_2x,0.006894,6893888877.0,11279581.0,20702369.0,0.546004,3119918.0,4826199.0,434805.0,1686688.0,nan,nan,nan,3171444.0,123269.0,19621.0
spmv_imp3_s64_sth2_dist32_ipd16_l2_ddr4_1x,spmv,imp,stage3,s64_sth2_dist32_ipd16,l2,ddr4_1x,0.007965,7965388305.0,11279581.0,23920085.0,0.472556,3126701.0,4826246.0,434989.0,1686666.0,nan,nan,nan,3163915.0,123012.0,19612.0
spmv_imp3_s64_sth2_l2_ddr4_1x,spmv,imp,stage3,s64_sth2,l2,ddr4_1x,0.007965,7965388305.0,11279581.0,23920085.0,0.472556,3126701.0,4826246.0,434989.0,1686666.0,nan,nan,nan,3163915.0,123012.0,19612.0
spmv_imp3_s64_sth8_pt8_l2_ddr4_1x,spmv,imp,stage3,s64_sth8_pt8,l2,ddr4_1x,0.007968,7968287403.0,11279576.0,23928791.0,0.472384,3127097.0,4826252.0,434976.0,1686662.0,nan,nan,nan,3164915.0,122986.0,19564.0
