run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
bfs_imp3_s64_sth2_pt8_l2_ddr4_2x,bfs,imp,stage3,s64_sth2_pt8,l2,ddr4_2x,0.023173,23173206930.0,30729211.0,69589210.0,0.441581,6935201.0,11410363.0,1420615.0,3529166.0,nan,nan,nan,4842451.0,314700.0,1231544.0
bfs_imp3_s64_sth8_l1d_ddr4_1x,bfs,imp,stage3,s64_sth8,l1d,ddr4_1x,0.023068,23067887355.0,30729211.0,69272935.0,0.443597,5325134.0,11457869.0,2716274.0,6653938.0,6330939.0,465053.0,2911617.0,nan,nan,nan
bfs_imp3_s64_sth8_pt8_l1d_ddr4_2x,bfs,imp,stage3,s64_sth8_pt8,l1d,ddr4_2x,0.019671,19671380262.0,30729211.0,59073214.0,0.520189,5205845.0,11367670.0,2767225.0,6769711.0,6640238.0,482236.0,3024938.0,nan,nan,nan
bfs_imp3_s64_sth8_pt8_l2_ddr4_1x,bfs,imp,stage3,s64_sth8_pt8,l2,ddr4_1x,0.028232,28232451954.0,30729211.0,84782138.0,0.36245,7026474.0,11479817.0,1424262.0,3529154.0,nan,nan,nan,4720320.0,302046.0,1189485.0
bfs_imp3_s64_sth8_pt8_l2_ddr4_2x,bfs,imp,stage3,s64_sth8_pt8,l2,ddr4_2x,0.02317,23169954852.0,30729211.0,69579444.0,0.441643,6935172.0,11408477.0,1420468.0,3529080.0,nan,nan,nan,4834807.0,314868.0,1230294.0
matmult_imp3_s32_dist32_addr16_l1d_ddr4_1x,matmult,imp,stage3,s32_dist32_addr16,l1d,ddr4_1x,0.001212,1212481638.0,7397876.0,3641086.0,2.03178,1150786.0,2138452.0,5475.0,1082498.0,31305.0,2993.0,4715.0,nan,nan,nan
matmult_imp3_s32_dist32_addr16_l2_ddr4_1x,matmult,imp,stage3,s32_dist32_addr16,l2,ddr4_1x,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,nan,nan,nan,5773.0,3771.0,23.0
matmult_imp3_s32_dist32_addr16_l2_ddr4_2x,matmult,imp,stage3,s32_dist32_addr16,l2,ddr4_2x,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,nan,nan,nan,6106.0,3776.0,5.0
matmult_imp3_s32_dist8_addr16_l2_ddr4_2x,matmult,imp,stage3,s32_dist8_addr16,l2,ddr4_2x,0.001204,1203633495.0,7397876.0,3614515.0,2.046716,1159095.0,2138428.0,1618.0,1077370.0,nan,nan,nan,6106.0,3776.0,5.0
matmult_imp3_s32_ipd16_addr16_l2_ddr4_1x,matmult,imp,stage3,s32_ipd16_addr16,l2,ddr4_1x,0.001205,1204672788.0,7397871.0,3617636.0,2.044949,1158165.0,2136806.0,1669.0,1076248.0,nan,nan,nan,5773.0,3771.0,23.0
