run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores
bfs_imp_stage2_cons_s2_sth8_pt8_l2_ddr4_1x,bfs,imp,stage2,cons_s2_sth8_pt8,l2,ddr4_1x,0.025937,25937162208.0,30729211.0,31124590.0,77889376.0,0.394524,7272921.0,11497452.0,1385977.0,3528916.0,286646058327.0,39412.783162,114652039349.0,82722.901858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,885398.0,183343.0,293954.0,0.207074,0.121636,346085.0,231455.0,114623.0,7.0,946310.0,8499.0,0.0,10371.0,351.0,1823558.0,0.0,1058682.0,92929.0,11.392375,897990.0,25464.0,35.26508,3744231.0,3528690.0,0.306911,37412.133497,62006.0,1323971.0,0.375178,83294.030606,6.41,57.32,0.0,0.0,4597659491.18438,391669062.2718413,4597657024.0,391669062.0,4989326086.0,19207.0,4582.163579,391.442052,37374.67,3332.0,54866.67,nan,nan,nan,nan,34342784.0,1324076386.0206492,537816.0,51211.15,8774099.0,75.593854,115.702277,209466.0,2.0,1859.0,12936002.0
bfs_imp_stage2_cons_s2_sth8_pt8_l2_ddr4_2x,bfs,imp,stage2,cons_s2_sth8_pt8,l2,ddr4_2x,0.02271,22710143790.0,30729211.0,31124590.0,68198630.0,0.450585,7132889.0,11405993.0,1385150.0,3528961.0,238083591074.0,33378.28348,91633021253.0,66153.861497,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,886963.0,184264.0,293889.0,0.207747,0.122357,345334.0,230881.0,114443.0,10.0,943205.0,6987.0,0.0,8424.0,117.0,1824951.0,0.0,767844.0,79666.0,9.63829,640448.0,19590.0,32.692598,3604171.0,3528718.0,0.309374,30817.736648,63465.0,1321685.0,0.374525,66845.588395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,64.831006,99.878362,68899.0,2.0,1631.0,12808430.0
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l1d_ddr4_1x,bfs,imp,stage2,cons_s8_sth8_pt8_ipd8,l1d,ddr4_1x,0.022835,22835118357.0,30729211.0,31124590.0,68573929.0,0.448118,5760410.0,11496519.0,2239185.0,6192751.0,235064520318.0,40806.907897,187078164461.0,83547.435545,5148645.0,403857.0,2476201.0,0.078439,0.114882,2067673.0,755572.0,1311371.0,730.0,24502083.0,5108166.0,0.0,1478289.0,1464877.0,19593869.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6334571.0,949361.0,6.672458,0.0,0.0,nan,2648854.0,3111556.0,0.270652,37017.690747,nan,2239185.0,0.361582,83214.435545,7.45,57.6,0.0,0.0,6275767953.533275,447445545.94646454,6275765151.0,447445546.0,6723210697.0,19207.0,6251.757217,447.11763,38620.78,3332.0,56112.78,68031488.0,2979248319.9083247,1066790.0,57032.02,nan,nan,nan,nan,8774099.0,61.29698,106.986065,171221.0,2.0,1950.0,12966546.0
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l1d_ddr4_2x,bfs,imp,stage2,cons_s8_sth8_pt8_ipd8,l1d,ddr4_2x,0.020056,20055990267.0,30729211.0,31124590.0,60228199.0,0.510214,5624919.0,11405539.0,2289437.0,6255864.0,195043126548.0,34674.832926,149231358522.0,65182.557337,5222202.0,415265.0,2538349.0,0.079519,0.118121,2066925.0,760517.0,1305698.0,710.0,23697748.0,4754469.0,0.0,1404834.0,1374715.0,19344164.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4337641.0,869614.0,4.988007,0.0,0.0,nan,2524584.0,3100335.0,0.271827,31011.730574,nan,2289437.0,0.365967,64849.557337,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,52.879421,92.2484,56684.0,2.0,1745.0,12824947.0
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l2_ddr4_1x,bfs,imp,stage2,cons_s8_sth8_pt8_ipd8,l2,ddr4_1x,0.025611,25610779917.0,30729211.0,31124590.0,76909249.0,0.399552,6894638.0,11474629.0,1335196.0,3529043.0,266026515178.0,38584.551528,115791909025.0,86722.780045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1573426.0,316042.0,627259.0,0.200862,0.197174,581674.0,436738.0,144907.0,29.0,2104510.0,195667.0,0.0,45903.0,63264.0,8568618.0,0.0,1217087.0,84691.0,14.370913,2636410.0,125093.0,21.0756,3365803.0,3528835.0,0.307534,38156.481089,48381.0,1286815.0,0.364636,87238.651429,8.36,58.47,0.0,0.0,5693992313.885066,398294781.8480525,5693989815.0,398294782.0,6092284597.0,19207.0,5675.844956,398.044887,44704.97,3332.0,62196.97,nan,nan,nan,nan,63287872.0,2471141925.5916758,991032.0,64535.11,8774099.0,70.249767,119.564932,312071.0,2.0,1950.0,12845292.0
bfs_imp_stage2_cons_s8_sth8_pt8_ipd8_l2_ddr4_2x,bfs,imp,stage2,cons_s8_sth8_pt8_ipd8,l2,ddr4_2x,0.021719,21718628964.0,30729211.0,31124590.0,65221108.0,0.471155,6810118.0,11400971.0,1330714.0,3529327.0,212979655476.0,31274.003692,90965369753.0,68358.317229,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1619092.0,324746.0,651000.0,0.200573,0.201999,595484.0,450003.0,145455.0,26.0,2062188.0,151847.0,0.0,36156.0,32452.0,8574716.0,0.0,819623.0,72796.0,11.259176,1619007.0,93029.0,17.403251,3281019.0,3529099.0,0.309544,30786.141608,47798.0,1282916.0,0.363502,68901.568762,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,57.976002,98.898316,77410.0,2.0,1689.0,12753583.0
bfs_imp_stage2_default_l1d_ddr4_1x,bfs,imp,stage2,default,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,31124590.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,249268319760.0,40402.363338,171096539095.0,81685.914454,4964319.0,312862.0,2227696.0,0.063022,0.090242,2195965.0,576162.0,1619316.0,487.0,15025477.0,1664030.0,0.0,1381706.0,544255.0,8673307.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5455296.0,768953.0,7.094447,0.0,0.0,nan,3015569.0,3154078.0,0.274081,36623.576383,nan,2094566.0,0.353653,81352.914454,6.75,57.54,0.0,0.0,5730390837.719165,436527182.79034865,5730388102.0,436527183.0,6166915285.0,19207.0,5707.978873,436.20709,36795.7,3332.0,54287.7,58005312.0,2479578031.6994033,909769.0,54142.61,nan,nan,nan,nan,8774099.0,65.047784,108.250066,165583.0,2.0,1844.0,12984811.0
bfs_imp_stage2_default_l1d_ddr4_2x,bfs,imp,stage2,default,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,31124590.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,210033659102.0,34874.66131,136932670737.0,64558.23788,4956620.0,321255.0,2255403.0,0.064813,0.092565,2155515.0,573941.0,1581109.0,465.0,14545947.0,1541502.0,0.0,1314201.0,507210.0,8583785.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3709948.0,705662.0,5.257401,0.0,0.0,nan,2873203.0,3149326.0,0.275788,30709.928348,nan,2121072.0,0.356443,64225.23788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,56.904085,94.276137,58621.0,2.0,1693.0,12845213.0
bfs_imp_stage2_default_l2_ddr4_1x,bfs,imp,stage2,default,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,31124590.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,272377382949.0,38616.055625,115056109476.0,85153.893873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1243469.0,260786.0,458053.0,0.209725,0.167194,472458.0,335977.0,136468.0,13.0,1443105.0,54624.0,0.0,26406.0,10214.0,3958455.0,0.0,1129633.0,88014.0,12.834697,1853189.0,74705.0,24.80676,3524833.0,3528642.0,0.307146,37718.071575,52160.0,1298995.0,0.368105,85737.935046,7.37,57.94,0.0,0.0,5170999647.413412,397661018.4759985,5170997149.0,397661018.0,5568658168.0,19207.0,5153.753048,397.438691,41178.67,3332.0,58670.67,nan,nan,nan,nan,49158272.0,1918754133.2850308,769912.0,58367.88,8774099.0,71.752679,117.217192,239250.0,2.0,1927.0,12888279.0
bfs_imp_stage2_default_l2_ddr4_2x,bfs,imp,stage2,default,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,31124590.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,221566943589.0,31945.092321,90978248625.0,67577.709641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1255627.0,266135.0,462189.0,0.211954,0.170654,474378.0,340961.0,133397.0,20.0,1423635.0,39797.0,0.0,19150.0,3075.0,3958413.0,0.0,794754.0,75127.0,10.578807,1155958.0,51843.0,22.297282,3406926.0,3528942.0,0.309398,30704.835691,52909.0,1293367.0,0.366479,68189.717017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8774099.0,60.279502,98.761061,68955.0,2.0,1710.0,12781588.0
