run,benchmark,prefetcher,stage,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,stage2_best_config,stage2_best_simSeconds,stage2_best_speedup_vs_nopf,speedup_vs_stage2_best,improvement_over_stage2_best_pct
bfs_imp3_s32_sth2_l1d_ddr4_1x,bfs,imp,stage3,s32_sth2,l1d,ddr4_1x,0.022779,22779044154.0,30729211.0,68405538.0,0.449222,5400379.0,11466497.0,2531089.0,6471582.0,5592023.0,457696.0,2736370.0,,,,0.02764,1.2133983054567803,5592023.0,457696.0,2736370.0,0.08184801815013994,0.4893345395753916,0.4709702536005547,0.39110823288648744,s16_sth8,0.022635,1.2211177380163465,0.9936783879889372,-0.6321612011062849
bfs_imp3_s32_sth2_l1d_ddr4_2x,bfs,imp,stage3,s32_sth2,l1d,ddr4_2x,0.019525,19525198257.0,30729211.0,58634229.0,0.524084,5283128.0,11378411.0,2584866.0,6583178.0,5765647.0,473421.0,2845521.0,,,,0.025176,1.2894238156209987,5765647.0,473421.0,2845521.0,0.08211064603851051,0.4935302143887754,0.46431158094043185,0.3926471379020892,s16_pt8_sth8,0.019608,1.2839657282741739,1.0042509603072982,0.4250960307298213
bfs_imp3_s32_sth2_pt8_l1d_ddr4_1x,bfs,imp,stage3,s32_sth2_pt8,l1d,ddr4_1x,0.022778,22778496702.0,30729211.0,68403894.0,0.449232,5399795.0,11469225.0,2530049.0,6472188.0,5596692.0,459164.0,2736769.0,,,,0.02764,1.2134515760821847,5596692.0,459164.0,2736769.0,0.08204203483057491,0.4889976078726505,0.4708073126126656,0.390910925331588,s16_sth8,0.022635,1.2211177380163465,0.993722012468171,-0.6277987531828955
bfs_imp3_s32_sth2_pt8_l1d_ddr4_2x,bfs,imp,stage3,s32_sth2_pt8,l1d,ddr4_2x,0.019517,19517148315.0,30729211.0,58610055.0,0.5243,5283000.0,11381265.0,2585402.0,6578470.0,5750517.0,472751.0,2840670.0,,,,0.025176,1.2899523492340013,5750517.0,472751.0,2840670.0,0.08221017345049149,0.4939851495091659,0.4641839022287944,0.39300962077808366,s16_pt8_sth8,0.019608,1.2839657282741739,1.0046626018342983,0.4662601834298341
bfs_imp3_s32_sth2_pt8_l2_ddr4_2x,bfs,imp,stage3,s32_sth2_pt8,l2,ddr4_2x,0.021005,21005470836.0,30729211.0,63079492.0,0.487151,6598011.0,11403543.0,1341180.0,3529176.0,,,,2194049.0,390793.0,1084190.0,0.025176,1.1985717686265176,2194049.0,390793.0,1084190.0,0.17811498284678237,0.4941503129601937,0.5785930740998653,0.3800263857625689,s16_pt8_sth2,0.021377,1.1777143659072835,1.017710069031183,1.7710069031183107
bfs_imp3_s32_sth8_l1d_ddr4_1x,bfs,imp,stage3,s32_sth8,l1d,ddr4_1x,0.022792,22791683502.0,30729211.0,68443494.0,0.448972,5401864.0,11469457.0,2530323.0,6476667.0,5605502.0,457605.0,2741068.0,,,,0.02764,1.2127062127062127,5605502.0,457605.0,2741068.0,0.08163497221123103,0.4889959900112425,0.47097818144311454,0.39068289291390157,s16_sth8,0.022635,1.2211177380163465,0.9931116181116181,-0.6888381888381923
bfs_imp3_s32_sth8_l2_ddr4_2x,bfs,imp,stage3,s32_sth8,l2,ddr4_2x,0.02101,21010059243.0,30729211.0,63093271.0,0.487045,6598048.0,11401816.0,1341420.0,3529106.0,,,,2193033.0,390594.0,1083404.0,0.025176,1.198286530223703,2193033.0,390594.0,1083404.0,0.17810675899541867,0.4940208378077302,0.5786839570117602,0.38010192949715876,s16_pt8_sth2,0.021377,1.1777143659072835,1.0174678724416943,1.7467872441694343
bfs_imp3_s32_sth8_pt8_l1d_ddr4_2x,bfs,imp,stage3,s32_sth8_pt8,l1d,ddr4_2x,0.019523,19522576548.0,30729211.0,58626356.0,0.524154,5277225.0,11378453.0,2586239.0,6576982.0,5752186.0,474188.0,2839644.0,,,,0.025176,1.2895559084157149,5752186.0,474188.0,2839644.0,0.08243613819163706,0.49366345246833115,0.4637910795079085,0.3932257987022011,s16_pt8_sth8,0.019608,1.2839657282741739,1.0043538390616198,0.4353839061619791
bfs_imp3_s32_sth8_pt8_l2_ddr4_1x,bfs,imp,stage3,s32_sth8_pt8,l2,ddr4_1x,0.025476,25476268896.0,30729211.0,76505312.0,0.401662,6650942.0,11480353.0,1347316.0,3528310.0,,,,2115143.0,373421.0,1035949.0,0.02764,1.084942691160308,2115143.0,373421.0,1035949.0,0.1765464557242702,0.48977728692575395,0.5793325344612661,0.3818587369023697,s16_pt8_sth8,0.025505,1.083709076651637,1.00113832626786,0.11383262678599237
bfs_imp3_s32_sth8_pt8_l2_ddr4_2x,bfs,imp,stage3,s32_sth8_pt8,l2,ddr4_2x,0.021012,21011696271.0,30729211.0,63098187.0,0.487007,6597804.0,11399880.0,1341545.0,3529166.0,,,,2194339.0,390502.0,1083962.0,0.025176,1.1981724728726442,2194339.0,390502.0,1083962.0,0.17795882951540304,0.49398110319326227,0.5787608290613585,0.38013088644739296,s16_pt8_sth2,0.021377,1.1777143659072835,1.017371026080335,1.7371026080335028
