run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,default_simSeconds,speedup_vs_imp_default,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_coverage_l1d,pf_unused_ratio
bfs_imp_ipd8_l1d_ddr4_1x,bfs,imp,ipd8,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_ipd8_l1d_ddr4_2x,bfs,imp,ipd8,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_ipd8_l2_ddr4_1x,bfs,imp,ipd8,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
bfs_imp_ipd8_l2_ddr4_2x,bfs,imp,ipd8,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,1.0,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.03837082827989229,0.36809418720686954
bfs_imp_pt32_l1d_ddr4_1x,bfs,imp,pt32,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_pt32_l1d_ddr4_2x,bfs,imp,pt32,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_pt32_l2_ddr4_1x,bfs,imp,pt32,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
bfs_imp_pt32_l2_ddr4_2x,bfs,imp,pt32,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,1.0,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.03837082827989229,0.36809418720686954
bfs_imp_pt64_l1d_ddr4_1x,bfs,imp,pt64,l1d,ddr4_1x,0.023393,23393219031.0,30729211.0,70249907.0,0.437428,6169647.0,11507814.0,2094566.0,5922664.0,4964319.0,312862.0,2227696.0,,,,0.023393,1.0,0.5361267570018077,0.3536526806180462,4964319.0,312862.0,2227696.0,0.06302213858537294,0.05070987043505082,0.4487415091576508
bfs_imp_pt64_l1d_ddr4_2x,bfs,imp,pt64,l1d,ddr4_2x,0.020727,20726640279.0,30729211.0,62242163.0,0.493705,6022529.0,11419388.0,2121072.0,5950664.0,4956620.0,321255.0,2255403.0,,,,0.020727,1.0,0.5273950758131697,0.35644291124486277,4956620.0,321255.0,2255403.0,0.0648133203675085,0.053342208895963805,0.455028426629437
bfs_imp_pt64_l2_ddr4_1x,bfs,imp,pt64,l2,ddr4_1x,0.02562,25619891130.0,30729211.0,76936610.0,0.39941,7053475.0,11488481.0,1351155.0,3528869.0,,,,1243469.0,260786.0,458053.0,0.02562,1.0,0.6139606271708157,0.38288613150559003,1243469.0,260786.0,458053.0,0.2097245689277336,0.03697269785460358,0.3683670441321818
bfs_imp_pt64_l2_ddr4_2x,bfs,imp,pt64,l2,ddr4_2x,0.022034,22034098512.0,30729211.0,66168464.0,0.464409,6935868.0,11405851.0,1346276.0,3529169.0,,,,1255627.0,266135.0,462189.0,0.022034,1.0,0.6080973703759588,0.38147110552087476,1255627.0,266135.0,462189.0,0.21195386846571473,0.03837082827989229,0.36809418720686954
bfs_imp_pt8_l1d_ddr4_1x,bfs,imp,pt8,l1d,ddr4_1x,0.02339,23390476443.0,30729211.0,70241671.0,0.437479,6169045.0,11510138.0,2095339.0,5924447.0,4961065.0,312663.0,2229420.0,,,,0.023393,1.0001282599401453,0.5359662064868379,0.35367672290764013,4961065.0,312663.0,2229420.0,0.06302336292711343,0.050682561077119714,0.4493833481319031
bfs_imp_pt8_l1d_ddr4_2x,bfs,imp,pt8,l1d,ddr4_2x,0.020729,20729348235.0,30729211.0,62250295.0,0.49364,6021336.0,11419256.0,2121377.0,5950268.0,4954829.0,321357.0,2254893.0,,,,0.020727,0.9999035168121954,0.5272966995397949,0.35651789129498035,4954829.0,321357.0,2254893.0,0.06485733412797899,0.05336971728533335,0.4550899738416805
bfs_imp_pt8_l2_ddr4_1x,bfs,imp,pt8,l2,ddr4_1x,0.025614,25613558136.0,30729211.0,76917592.0,0.399509,7053198.0,11489538.0,1351593.0,3528852.0,,,,1245117.0,260356.0,458137.0,0.02562,1.0002342468962286,0.613880035907449,0.38301209571838096,1245117.0,260356.0,458137.0,0.20910163462550105,0.036913184629156874,0.36794694795750116
bfs_imp_pt8_l2_ddr4_2x,bfs,imp,pt8,l2,ddr4_2x,0.022043,22042744857.0,30729211.0,66194429.0,0.464227,6936703.0,11407403.0,1346254.0,3529140.0,,,,1254849.0,266326.0,462419.0,0.022034,0.999591707117906,0.608087835592378,0.3814680063698238,1254849.0,266326.0,462419.0,0.21223748833524989,0.0383937441173422,0.36850569271681294
bfs_imp_sdist16_l1d_ddr4_1x,bfs,imp,sdist16,l1d,ddr4_1x,0.022644,22644101898.0,30729211.0,68000306.0,0.451899,5499207.0,11471915.0,2389038.0,6325340.0,5223342.0,440614.0,2597004.0,,,,0.023393,1.0330771948419006,0.4793625998797934,0.37769321491018665,5223342.0,440614.0,2597004.0,0.08435480579291955,0.08012318867065743,0.49719202763288334
bfs_imp_sdist16_l1d_ddr4_2x,bfs,imp,sdist16,l1d,ddr4_2x,0.019617,19617348015.0,30729211.0,58910955.0,0.521622,5371033.0,11380680.0,2448923.0,6419441.0,5351311.0,454753.0,2689456.0,,,,0.020727,1.0565835754702553,0.4719430649135201,0.38148539724876357,5351311.0,454753.0,2689456.0,0.08497973674114624,0.08466769800148315,0.5025789007590851
bfs_imp_sdist16_l2_ddr4_1x,bfs,imp,sdist16,l2,ddr4_1x,0.025506,25505763705.0,30729211.0,76593885.0,0.401197,6759177.0,11471944.0,1336083.0,3528858.0,,,,1838477.0,351029.0,809468.0,0.02562,1.0044695365796283,0.5891919451489651,0.3786162548903923,1838477.0,351029.0,809468.0,0.1909346703820608,0.05193368956013432,0.44029269879362104
bfs_imp_sdist16_l2_ddr4_2x,bfs,imp,sdist16,l2,ddr4_2x,0.021395,21394838079.0,30729211.0,64248763.0,0.478285,6693335.0,11401031.0,1329670.0,3529114.0,,,,1915481.0,366130.0,851751.0,0.022034,1.02986679130638,0.587081554291011,0.37677162029903255,1915481.0,366130.0,851751.0,0.19114259029455266,0.05470068359046723,0.44466690089852107
bfs_imp_sdist2_l1d_ddr4_1x,bfs,imp,sdist2,l1d,ddr4_1x,0.024156,24155886933.0,30729211.0,72540201.0,0.423617,6755365.0,11529760.0,1928634.0,5433207.0,4548979.0,194551.0,1766208.0,,,,0.023393,0.9684136446431528,0.5859068185287465,0.354971566516792,4548979.0,194551.0,1766208.0,0.0427680585027981,0.02879948011691448,0.388264707311245
bfs_imp_sdist2_l1d_ddr4_2x,bfs,imp,sdist2,l1d,ddr4_2x,0.021552,21552492267.0,30729211.0,64722199.0,0.474787,6587143.0,11426245.0,1929813.0,5434178.0,4473156.0,201698.0,1766786.0,,,,0.020727,0.9617204899777282,0.5764923647269947,0.3551250989570088,4473156.0,201698.0,1766786.0,0.04509075918657878,0.030619951623943795,0.3949752702566152
bfs_imp_sdist2_l2_ddr4_1x,bfs,imp,sdist2,l2,ddr4_1x,0.025941,25940758275.0,30729211.0,77900175.0,0.39447,7270230.0,11495059.0,1385780.0,3528921.0,,,,885485.0,183571.0,294030.0,0.02562,0.9876257661616746,0.6324656532863381,0.39269227052688344,885485.0,183571.0,294030.0,0.20731124750842758,0.02524968260976613,0.3320553143192714
bfs_imp_sdist2_l2_ddr4_2x,bfs,imp,sdist2,l2,ddr4_2x,0.022705,22705303968.0,30729211.0,68184096.0,0.450681,7130514.0,11405560.0,1384932.0,3528960.0,,,,886919.0,184508.0,294294.0,0.022034,0.9704470380973355,0.6251787724583449,0.392447633297062,886919.0,184508.0,294294.0,0.20803252608186318,0.02587583447700965,0.3318160959456275
bfs_imp_sdist8_l1d_ddr4_1x,bfs,imp,sdist8,l1d,ddr4_1x,0.022859,22859318466.0,30729211.0,68646602.0,0.447644,5763687.0,11494089.0,2241663.0,6196945.0,5157984.0,403198.0,2480070.0,,,,0.023393,1.0233606019510915,0.501447918142969,0.36173679127376474,5157984.0,403198.0,2480070.0,0.07816968800213417,0.06995487437121412,0.4808215768020994
bfs_imp_sdist8_l1d_ddr4_2x,bfs,imp,sdist8,l1d,ddr4_2x,0.020049,20049487443.0,30729211.0,60208671.0,0.510379,5621790.0,11403292.0,2289053.0,6257577.0,5230504.0,416196.0,2540129.0,,,,0.020727,1.0338171479874307,0.4929971099573702,0.3658050072735821,5230504.0,416196.0,2540129.0,0.07957091706650067,0.07403264796443837,0.48563752173786695
bfs_imp_sdist8_l2_ddr4_1x,bfs,imp,sdist8,l2,ddr4_1x,0.025632,25631879130.0,30729211.0,76972610.0,0.399223,6894129.0,11476841.0,1335439.0,3529084.0,,,,1576449.0,315982.0,627778.0,0.02562,0.9995318352059925,0.6006991819438816,0.3784095249645517,1576449.0,315982.0,627778.0,0.20043908810243782,0.04583349107624763,0.398222841335178
bfs_imp_sdist8_l2_ddr4_2x,bfs,imp,sdist8,l2,ddr4_2x,0.021718,21718321605.0,30729211.0,65220185.0,0.471162,6810078.0,11402903.0,1330301.0,3529295.0,,,,1620036.0,325093.0,650691.0,0.022034,1.014550142738742,0.5972231807987843,0.3769310868034551,1620036.0,325093.0,650691.0,0.20067023201953538,0.04773704500888242,0.4016521855069887
bfs_imp_sthr2_l1d_ddr4_1x,bfs,imp,sthr2,l1d,ddr4_1x,0.023393,23393021562.0,30729211.0,70249314.0,0.437431,6170730.0,11512102.0,2094585.0,5924161.0,4967605.0,312640.0,2228993.0,,,,0.023393,1.0,0.5360211367133474,0.35356652190917837,4967605.0,312640.0,2228993.0,0.06293576079418553,0.05066499425513675,0.4487057646491619
bfs_imp_sthr2_l1d_ddr4_2x,bfs,imp,sthr2,l1d,ddr4_2x,0.020735,20734811766.0,30729211.0,62266702.0,0.49351,6027232.0,11418650.0,2121301.0,5950923.0,4956886.0,321409.0,2255448.0,,,,0.020727,0.9996141789245238,0.5278410319959015,0.3564658793266187,4956886.0,321409.0,2255448.0,0.06484091020047666,0.05332613710572283,0.4550130868452492
