run,benchmark,prefetcher,config,pf_level,memory,simSeconds,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,stage,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
merge_imp3_s32_sth8_l1d_ddr4_2x,merge,imp,s32_sth8,l1d,ddr4_2x,0.009922,1.272676,770952.0,10964267.0,73686.0,214411.0,214165.0,77236.0,6962.0,,,,stage3,0.011697,1.1788953839951624,214165.0,77236.0,6962.0,0.3606378259752994,0.03250764597389863,0.07031496040729399,0.3436670693201375,stage3: s32_sth8
merge_imp3_s32_ipd8_addr8_l2_ddr4_1x,merge,imp,s32_ipd8_addr8,l2,ddr4_1x,0.010153,1.243717,844646.0,11106045.0,17248.0,201240.0,,,,85093.0,54694.0,373.0,stage3,0.011631,1.145572737122033,85093.0,54694.0,373.0,0.6427555733139036,0.004383439295829269,0.07605281628158359,0.0857086066388392,stage3: s32_ipd8_addr8
merge_imp3_s32_dist8_addr16_l2_ddr4_2x,merge,imp,s32_dist8_addr16,l2,ddr4_2x,0.010051,1.256344,848023.0,11105968.0,13428.0,201366.0,,,,91714.0,58643.0,357.0,stage3,0.011697,1.1637647995224358,91714.0,58643.0,357.0,0.6394116492574743,0.0038925354907647686,0.07635741431994042,0.06668454456065076,stage3: s32_dist8_addr16
quick_imp3_s32_ipd8_addr8_l1d_ddr4_1x,quick,imp,s32_ipd8_addr8,l1d,ddr4_1x,0.008422,0.966219,48062.0,9161629.0,28509.0,86918.0,174498.0,74561.0,2246.0,,,,stage3,0.009731,1.1554262645452387,174498.0,74561.0,2246.0,0.42728856491191874,0.012871207692924847,0.005246010289218217,0.3279988034699372,stage3: s32_ipd8_addr8
quick_imp3_s32_l1d_ddr4_2x,quick,imp,s32,l1d,ddr4_2x,0.008388,0.970042,46732.0,9161063.0,28533.0,86999.0,172896.0,74633.0,2323.0,,,,stage3,0.00967,1.1528373867429662,172896.0,74633.0,2323.0,0.43166412178419394,0.013435822691097539,0.005101154745906671,0.3279692870032989,stage3: s32
quick_imp3_s32_dist32_addr16_l2_ddr4_1x,quick,imp,s32_dist32_addr16,l2,ddr4_1x,0.008652,0.940425,234259.0,9220556.0,2191.0,82825.0,,,,28315.0,26303.0,19.0,stage3,0.009731,1.124711049468331,28315.0,26303.0,19.0,0.9289422567543705,0.0006710224262758256,0.025406168565106052,0.026453365529731362,stage3: s32_dist32_addr16
quick_imp3_s32_dist32_addr16_l2_ddr4_2x,quick,imp,s32_dist32_addr16,l2,ddr4_2x,0.008626,0.943295,233143.0,9219528.0,2193.0,82824.0,,,,28397.0,26300.0,19.0,stage3,0.00967,1.1210294458613494,28397.0,26300.0,19.0,0.9261541712152692,0.0006690847624749093,0.02528795400371906,0.02647783251231527,stage3: s32_dist32_addr16
matmult_imp3_s64_dist8_addr16_l1d_ddr4_1x,matmult,imp,s64_dist8_addr16,l1d,ddr4_1x,0.001207,2.041538,1149126.0,2138238.0,5492.0,1082270.0,24225.0,3014.0,4710.0,,,,stage3,0.001279,1.059652029826015,24225.0,3014.0,4710.0,0.12441692466460268,0.19442724458204336,0.5374172566384098,0.005074519297402681,stage3: s64_dist8_addr16
matmult_imp3_s64_sth2_dist32_ipd16_addr16_l1d_ddr4_2x,matmult,imp,s64_sth2_dist32_ipd16_addr16,l1d,ddr4_2x,0.001218,2.021861,1150918.0,2140135.0,5413.0,1081955.0,21277.0,2954.0,3470.0,,,,stage3,0.001298,1.0656814449917897,21277.0,2954.0,3470.0,0.13883536212811956,0.16308690134887438,0.5377782242708988,0.0050029807154641365,stage3: s64_sth2_dist32_ipd16_addr16
matmult_imp3_s32_dist32_addr16_l2_ddr4_1x,matmult,imp,s32_dist32_addr16,l2,ddr4_1x,0.001205,2.044949,1158165.0,2136806.0,1669.0,1076248.0,,,,5773.0,3771.0,23.0,stage3,0.001279,1.0614107883817427,5773.0,3771.0,23.0,0.65321323402044,0.00398406374501992,0.5420075570735013,0.0015507578179007068,stage3: s32_dist32_addr16
matmult_imp3_s32_dist32_addr16_l2_ddr4_2x,matmult,imp,s32_dist32_addr16,l2,ddr4_2x,0.001204,2.046716,1159095.0,2138428.0,1618.0,1077370.0,,,,6106.0,3776.0,5.0,stage3,0.001298,1.0780730897009967,6106.0,3776.0,5.0,0.61840812315755,0.0008188666885031117,0.5420313426498343,0.0015018053222198501,stage3: s32_dist32_addr16
