run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,imp_default_simSeconds,stage1_best_config,stage1_best_simSeconds,stage1_best_speedup,speedup_vs_imp_default,speedup_vs_stage1_best,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,pf_coverage_l1d
spmv_imp_stage2_aggr_s16_sth2_d32_ipd16_l2_ddr4_2x,spmv,imp,aggr_s16_sth2_d32_ipd16,l2,ddr4_2x,0.00558,5579716698.0,11279581.0,16755906.0,0.674602,2390875.0,4827880.0,354593.0,1687033.0,,,,373385.0,191195.0,12617.0,0.006431,sdist16,0.00558,1.1525089605734768,1.1525089605734768,1.0,0.49522254074252053,0.21018735258883495,373385.0,191195.0,12617.0,0.5120585990331695,0.03379085930072177,0.07996863073142678
spmv_imp_stage2_s16_pt8_sth2_l2_ddr4_2x,spmv,imp,s16_pt8_sth2,l2,ddr4_2x,0.00558,5579716698.0,11279581.0,16755906.0,0.674602,2390875.0,4827880.0,354593.0,1687033.0,,,,373385.0,191195.0,12617.0,0.006431,sdist16,0.00558,1.1525089605734768,1.1525089605734768,1.0,0.49522254074252053,0.21018735258883495,373385.0,191195.0,12617.0,0.5120585990331695,0.03379085930072177,0.07996863073142678
spmv_imp_stage2_s16_sth2_l2_ddr4_2x,spmv,imp,s16_sth2,l2,ddr4_2x,0.00558,5579716698.0,11279581.0,16755906.0,0.674602,2390875.0,4827880.0,354593.0,1687033.0,,,,373385.0,191195.0,12617.0,0.006431,sdist16,0.00558,1.1525089605734768,1.1525089605734768,1.0,0.49522254074252053,0.21018735258883495,373385.0,191195.0,12617.0,0.5120585990331695,0.03379085930072177,0.07996863073142678
spmv_imp_stage2_s16_dist8_addr16_l1d_ddr4_1x,spmv,imp,s16_dist8_addr16,l1d,ddr4_1x,0.00594,5940466587.0,11279576.0,17839239.0,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,0.006737,sdist16,0.00594,1.1341750841750842,1.1341750841750842,1.0,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.076045040019587
spmv_imp_stage2_s16_ipd16_addr16_l1d_ddr4_1x,spmv,imp,s16_ipd16_addr16,l1d,ddr4_1x,0.00594,5940466587.0,11279576.0,17839239.0,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,0.006737,sdist16,0.00594,1.1341750841750842,1.1341750841750842,1.0,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.076045040019587
spmv_imp_stage2_s16_dist32_addr16_l1d_ddr4_1x,spmv,imp,s16_dist32_addr16,l1d,ddr4_1x,0.00594,5940466587.0,11279576.0,17839239.0,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,0.006737,sdist16,0.00594,1.1341750841750842,1.1341750841750842,1.0,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.076045040019587
spmv_imp_stage2_s16_l1d_ddr4_1x,spmv,imp,s16,l1d,ddr4_1x,0.00594,5940466587.0,11279576.0,17839239.0,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,0.006737,sdist16,0.00594,1.1341750841750842,1.1341750841750842,1.0,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.076045040019587
spmv_imp_stage2_s16_ipd16_pt32_l1d_ddr4_1x,spmv,imp,s16_ipd16_pt32,l1d,ddr4_1x,0.00594,5940466587.0,11279576.0,17839239.0,0.633635,1980905.0,4826356.0,654062.0,3666897.0,2610892.0,150638.0,1927141.0,,,,0.006737,sdist16,0.00594,1.1341750841750842,1.1341750841750842,1.0,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057695990489074235,0.7381159389204915,0.076045040019587
simple_triad_imp_stage2_s2_sth2_l2_ddr4_1x,simple_triad,imp,s2_sth2,l2,ddr4_1x,0.002614,2614332051.0,3509939.0,7850848.0,0.44708,1977072.0,2003761.0,361111.0,375373.0,,,,704306.0,14252.0,2.0,0.002935,sdist2,0.002654,1.1058779201205726,1.1228003060443765,1.015302218821729,0.9866805472309322,0.9620057915726491,704306.0,14252.0,2.0,0.020235522627948647,2.8396748004418532e-06,0.007208639847208397
simple_triad_imp_stage2_cons_s2_sth8_pt8_l2_ddr4_1x,simple_triad,imp,cons_s2_sth8_pt8,l2,ddr4_1x,0.002622,2621662713.0,3509883.0,7872862.0,0.445823,1972343.0,2003735.0,357973.0,375374.0,,,,698191.0,17391.0,2.0,0.002935,sdist2,0.002654,1.1058779201205726,1.1193745232646835,1.0122044241037376,0.9843332576413548,0.9536435661500263,698191.0,17391.0,2.0,0.02490865680021656,2.864545661573982e-06,0.008817431856426595
simple_triad_imp_stage2_s2_sth8_l2_ddr4_1x,simple_triad,imp,s2_sth8,l2,ddr4_1x,0.002622,2621662713.0,3509883.0,7872862.0,0.445823,1972343.0,2003734.0,357973.0,375374.0,,,,698191.0,17391.0,2.0,0.002935,sdist2,0.002654,1.1058779201205726,1.1193745232646835,1.0122044241037376,0.9843337488908208,0.9536435661500263,698191.0,17391.0,2.0,0.02490865680021656,2.864545661573982e-06,0.008817431856426595
spmv_imp_stage2_s16_pt8_sth8_l2_ddr4_1x,spmv,imp,s16_pt8_sth8,l2,ddr4_1x,0.006186,6185903904.0,11279576.0,18576288.0,0.608495,2388080.0,4827670.0,353912.0,1686968.0,,,,366644.0,191774.0,12517.0,0.006899,sdist16,0.006189,1.1147196639198578,1.1152602651147754,1.0004849660523765,0.4946651283124157,0.20979176842714267,366644.0,191774.0,12517.0,0.5230523341442925,0.03413938316186819,0.08030467991022076
spmv_imp_stage2_s16_pt8_sth2_l2_ddr4_1x,spmv,imp,s16_pt8_sth2,l2,ddr4_1x,0.006186,6186120021.0,11279576.0,18576937.0,0.608473,2387785.0,4827676.0,353875.0,1686940.0,,,,366545.0,191810.0,12501.0,0.006899,sdist16,0.006189,1.1147196639198578,1.1152602651147754,1.0004849660523765,0.4946034075194773,0.20977331736754123,366545.0,191810.0,12501.0,0.523291819558308,0.03410495300713418,0.0803296779232636
spmv_imp_stage2_s16_sth8_l2_ddr4_1x,spmv,imp,s16_sth8,l2,ddr4_1x,0.006186,6185903904.0,11279576.0,18576288.0,0.608495,2388080.0,4827670.0,353912.0,1686968.0,,,,366644.0,191774.0,12517.0,0.006899,sdist16,0.006189,1.1147196639198578,1.1152602651147754,1.0004849660523765,0.4946651283124157,0.20979176842714267,366644.0,191774.0,12517.0,0.5230523341442925,0.03413938316186819,0.08030467991022076
spmv_imp_stage2_s16_sth2_l2_ddr4_1x,spmv,imp,s16_sth2,l2,ddr4_1x,0.006187,6186913560.0,11279576.0,18579320.0,0.608395,2387968.0,4827653.0,353873.0,1686964.0,,,,366451.0,191796.0,12499.0,0.006899,sdist16,0.006189,1.1147196639198578,1.115080006465169,1.000323258445127,0.4946436705372155,0.2097691474151197,366451.0,191796.0,12499.0,0.5233878472155895,0.03410824366695684,0.0803176591981132
spmv_imp_stage2_aggr_s16_sth2_d32_ipd16_addr16_l2_ddr4_1x,spmv,imp,aggr_s16_sth2_d32_ipd16_addr16,l2,ddr4_1x,0.006187,6186913560.0,11279576.0,18579320.0,0.608395,2387968.0,4827653.0,353873.0,1686964.0,,,,366451.0,191796.0,12499.0,0.006899,sdist16,0.006189,1.1147196639198578,1.115080006465169,1.000323258445127,0.4946436705372155,0.2097691474151197,366451.0,191796.0,12499.0,0.5233878472155895,0.03410824366695684,0.0803176591981132
