run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
bfs_nextline_deg1_l2_ddr4_1x,bfs,nextline,deg1,l2,ddr4_1x,0.024144,24144054111.0,30729211.0,31124590.0,72504667.0,0.423824,6741970.0,11505483.0,1420245.0,3524039.0,244003177238.0,36191.673537,116859591575.0,82281.290605,945552.0,61420.0,15.394855,2726455.0,131577.0,20.721365,3218160.0,3523810.0,0.306272,37900.6576,231905.0,1188340.0,0.33721,89225.830887,8.27,57.63,0.0,0.0,6584348397.710564,421796271.3793058,6584343096.0,421796271.0,7006139368.0,19207.0,6562.068792,421.456975,40073.43,3332.0,57565.43,8774099.0,63.094461,111.697412,236697.0,2.0,1785.0,12874746.0,,,,,,,,,,,,,,,,,1645588.0,278485.0,783983.0,0.169231,0.189856,349939.0,349799.0,107.0,33.0,1672373.0,0.0,0.0,26785.0,0.0,26357.0,4305.0,,,,,82633984.0,3422539711.8519573,1294475.0,53099.84,0.02764,1.1447978793903248,1645588.0,278485.0,783983.0,0.1692313021242255,0.4764151172711517,0.585978876332267,0.40301625492793924,0.16393717659663395,349939.0,0.2126528632926346,0.0,26785.0,0.0,1672373.0,0.0,0.016016163858182355,0.0,3422539711.8519573,82633984.0,0.347871878608024
bfs_nextline_deg1_l2_ddr4_2x,bfs,nextline,deg1,l2,ddr4_2x,0.021106,21106054818.0,30729211.0,31124590.0,63381546.0,0.48483,6677220.0,11388244.0,1411112.0,3523905.0,202050811933.0,30259.720652,92725423731.0,65710.88881,647085.0,53251.0,12.151603,1912149.0,105788.0,18.075292,3153539.0,3523681.0,0.309414,30964.417055,224057.0,1187055.0,0.336858,70783.184956,,,,,,,,,,,,,,,,8774099.0,54.485516,95.081776,71557.0,2.0,1745.0,12728405.0,,,,,,,,,,,,,,,,,1646875.0,287566.0,784009.0,0.174613,0.19501,349962.0,349827.0,88.0,47.0,1672323.0,0.0,0.0,25448.0,0.0,26355.0,4513.0,,,,,,,,,0.025176,1.1928361603335544,1646875.0,287566.0,784009.0,0.17461313092979128,0.4760585958254269,0.5863256881394533,0.40043985294722756,0.16928811699450985,349962.0,0.21250064516129033,0.0,25448.0,0.0,1672323.0,0.0,0.015217156015913193,0.0,,,
bfs_nextline_deg32_l1d_ddr4_1x,bfs,nextline,deg32,l1d,ddr4_1x,0.022919,22918670721.0,30729211.0,31124590.0,68824837.0,0.446485,5020571.0,11444511.0,3389548.0,7312125.0,207190209221.0,41268.255985,291066472853.0,85871.766045,11656016.0,1881958.0,6.193558,0.0,0.0,,1888277.0,3132294.0,0.273694,37424.829397,,3389548.0,0.463552,85538.766634,10.03,57.87,0.0,0.0,9465255408.605772,445747317.73773015,9465252616.0,445747318.0,9910999934.0,19207.0,9436.009733,445.331238,40724.11,3332.0,58216.11,8774099.0,58.286363,109.92019,239494.0,2.0,1838.0,12951209.0,6975209.0,448416.0,3559860.0,0.064287,0.125231,2795598.0,2194105.0,600566.0,927.0,128320300.0,55745046.0,0.0,1368043.0,61841929.0,46687412.0,4688194.0,,,,,,,,,,,,,,,,,140257088.0,6119774122.479308,2197129.0,58163.72,,,,,0.02764,1.2059862995767705,6975209.0,448416.0,3559860.0,0.06428710594908339,0.5103589010737886,0.43868811869725144,0.4635517035061627,0.08199251525008196,2795598.0,0.40079057129327594,61841929.0,1368043.0,55745046.0,128320300.0,0.4819341055156511,0.010661158055272627,0.4344211009481742,6119774122.479308,140257088.0,0.4921052786463185
bfs_nextline_deg32_l1d_ddr4_2x,bfs,nextline,deg32,l1d,ddr4_2x,0.019459,19459133388.0,30729211.0,31124590.0,58435836.0,0.525863,4914174.0,11336483.0,3610428.0,7613314.0,165315652210.0,33640.577686,236909460557.0,65618.109697,8238383.0,1729610.0,4.763145,0.0,0.0,,1803351.0,3110823.0,0.274408,31108.517745,,3610428.0,0.474226,65285.109697,,,,,,,,,,,,,,,,8774099.0,48.200831,91.05722,61763.0,2.0,1728.0,12786674.0,7615469.0,465306.0,3852565.0,0.0611,0.130114,3113203.0,2446242.0,665751.0,1210.0,126195172.0,54560955.0,0.0,1348010.0,60339396.0,45948316.0,4844144.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.2937972146564571,7615469.0,465306.0,3852565.0,0.06110011084018594,0.5058867681031858,0.43348311817695134,0.47422554750795776,0.08649646434227844,3113203.0,0.408799904510149,60339396.0,1348010.0,54560955.0,126195172.0,0.4781434586102866,0.010681945898849443,0.4323537432953457,,,
bfs_nextline_deg32_l2_ddr4_1x,bfs,nextline,deg32,l2,ddr4_1x,0.026243,26242863534.0,30729211.0,31124590.0,78807398.0,0.389928,6547379.0,11508867.0,1321578.0,3522678.0,252390801213.0,38548.371984,125066468387.0,94634.193659,1829313.0,91683.0,19.952587,10581135.0,658523.0,16.067981,3024099.0,3523280.0,0.306136,42987.076025,120146.0,1201432.0,0.341056,96867.470315,14.1,60.38,0.0,0.0,10954987424.582323,390252534.2454117,10954967915.0,390252534.0,11345220449.0,19207.0,10920.917972,389.908669,57133.05,3332.0,74625.05,8774099.0,64.007976,124.278939,477156.0,2.0,2032.0,12816404.0,,,,,,,,,,,,,,,,,10556828.0,590579.0,2579215.0,0.055943,0.329562,7265779.0,6548030.0,717312.0,437.0,45005953.0,6590388.0,0.0,342216.0,27210213.0,16183071.0,5412461.0,,,,,209875136.0,7997417497.068787,3288557.0,76216.58,0.02764,1.0532332431505544,10556828.0,590579.0,2579215.0,0.055942845710851785,0.24431723241109923,0.5688986587472077,0.3751628732458658,0.3088548691346997,7265779.0,0.6882539906873542,27210213.0,342216.0,6590388.0,45005953.0,0.6045914192729126,0.0076037941025268365,0.1464336951158439,7997417497.068787,209875136.0,0.5633178193459824
bfs_nextline_deg32_l2_ddr4_2x,bfs,nextline,deg32,l2,ddr4_2x,0.020535,20535092352.0,30729211.0,31124590.0,61666944.0,0.49831,6469977.0,11418719.0,1302356.0,3523366.0,187680723387.0,29007.942901,91688744189.0,70402.212751,1152427.0,74932.0,15.379638,6641128.0,595223.0,11.157378,2946713.0,3523264.0,0.308552,32356.848316,118346.0,1184010.0,0.336045,72632.346109,,,,,,,,,,,,,,,,8774099.0,49.671344,95.800615,97482.0,2.0,1765.0,12717451.0,,,,,,,,,,,,,,,,,12750135.0,653595.0,2992167.0,0.051262,0.355678,8984760.0,8174510.0,809518.0,732.0,45926692.0,6454583.0,0.0,334851.0,26084009.0,16663740.0,6087442.0,,,,,,,,,0.025176,1.2260043827611395,12750135.0,653595.0,2992167.0,0.0512618101690688,0.2346772798876247,0.5666114561537069,0.3696340374516868,0.334157144018434,8984760.0,0.704679597510144,26084009.0,334851.0,6454583.0,45926692.0,0.5679487867316897,0.007290988865472828,0.14054099520165747,,,
bfs_nextline_deg4_l1d_ddr4_1x,bfs,nextline,deg4,l1d,ddr4_1x,0.024231,24230725020.0,30729211.0,31124590.0,72764940.0,0.422308,5860222.0,11465453.0,3502823.0,8485713.0,239333028841.0,40840.266604,292053962772.0,83376.740067,9996527.0,1705301.0,5.862031,0.0,0.0,,2645217.0,3215005.0,0.280408,36263.750849,,3502823.0,0.412791,83043.740162,9.4,57.83,0.0,0.0,9251917629.990915,422368872.2294782,9251917630.0,422368872.0,9674286502.0,19207.0,9219.950283,421.977964,38247.63,3332.0,55739.63,8774099.0,66.62205,113.890666,226274.0,2.0,1880.0,12997069.0,7072168.0,332156.0,4688318.0,0.046967,0.09364,1801684.0,603355.0,1197246.0,1083.0,23837406.0,7984933.0,0.0,916167.0,5929571.0,932126.0,48261.0,,,,,,,,,,,,,,,,,149235072.0,6158918970.720919,2339270.0,54963.38,,,,,0.02764,1.14068754900747,7072168.0,332156.0,4688318.0,0.046966644457541167,0.6629251454433774,0.5111199705759555,0.41279065176962737,0.05363949035410952,1801684.0,0.25475695713110885,5929571.0,916167.0,7984933.0,23837406.0,0.24875068201632342,0.03843400578066254,0.33497491295823045,6158918970.720919,149235072.0,0.4803518803828324
bfs_nextline_deg4_l1d_ddr4_2x,bfs,nextline,deg4,l1d,ddr4_2x,0.02099,20989573083.0,30729211.0,31124590.0,63031751.0,0.48752,5711533.0,11372821.0,3654338.0,8658208.0,195238775224.0,34183.252592,241067935965.0,65967.607803,7249772.0,1580752.0,4.58628,0.0,0.0,,2514109.0,3197424.0,0.281146,30536.631626,,3654338.0,0.422066,65634.607803,,,,,,,,,,,,,,,,8774099.0,56.238551,96.810995,81175.0,2.0,1671.0,12844867.0,7416661.0,342681.0,4858107.0,0.046204,0.0968,1956104.0,672246.0,1282659.0,1199.0,23303084.0,7490984.0,0.0,877873.0,5659525.0,913792.0,48576.0,,,,,,,,,,,,,,,,,,,,,,,,,0.025176,1.1994282991900904,7416661.0,342681.0,4858107.0,0.04620421507737781,0.6550261633907766,0.502208994584545,0.42206632134501737,0.05660206262943464,1956104.0,0.26374456106326016,5659525.0,877873.0,7490984.0,23303084.0,0.2428659228109035,0.03767196650881059,0.32145891076048133,,,
bfs_nextline_deg4_l2_ddr4_1x,bfs,nextline,deg4,l2,ddr4_1x,0.027062,27061750494.0,30729211.0,31124590.0,81266518.0,0.378129,6630274.0,11509161.0,1359174.0,3523350.0,266839476748.0,40245.618318,125655297256.0,92449.750551,1433696.0,76752.0,18.679591,7276829.0,428324.0,16.989076,3107154.0,3523120.0,0.306114,41915.917908,146570.0,1212604.0,0.344162,95948.746581,12.5,59.25,0.0,0.0,10268050622.283592,378677646.9715833,10268043527.0,378677647.0,10646721174.0,19207.0,10235.563145,378.363107,48249.23,3332.0,65741.23,8774099.0,68.462526,125.028779,443054.0,2.0,2113.0,12838584.0,,,,,,,,,,,,,,,,,5717185.0,561793.0,2418924.0,0.098264,0.316611,2587810.0,2136154.0,451417.0,239.0,7381820.0,201527.0,0.0,136682.0,1214501.0,302048.0,90524.0,,,,,199531328.0,7373186300.133804,3126395.0,64373.8,0.02764,1.0213583622792108,5717185.0,561793.0,2418924.0,0.09826391834442999,0.4230970311438234,0.5760866495828845,0.38576184597045426,0.2924532279836145,2587810.0,0.45263709325480983,1214501.0,136682.0,201527.0,7381820.0,0.16452595701331107,0.01851602992216012,0.02730044894077612,7373186300.133804,199531328.0,0.5286356295924609
bfs_nextline_deg4_l2_ddr4_2x,bfs,nextline,deg4,l2,ddr4_2x,0.022181,22181436027.0,30729211.0,31124590.0,66610919.0,0.461324,6521975.0,11397529.0,1356165.0,3523532.0,205222520382.0,31466.315094,96682724668.0,71291.269623,902041.0,60915.0,14.808192,5349360.0,385223.0,13.886398,2998686.0,3523289.0,0.309127,33067.358798,152043.0,1204122.0,0.341737,74396.314926,,,,,,,,,,,,,,,,8774099.0,54.973386,101.26103,112803.0,2.0,1732.0,12712766.0,,,,,,,,,,,,,,,,,6035996.0,590773.0,2556291.0,0.097875,0.329141,2734795.0,2286086.0,448366.0,343.0,7480994.0,179234.0,0.0,126783.0,1033419.0,306758.0,95578.0,,,,,,,,,0.025176,1.1350254722510258,6035996.0,590773.0,2556291.0,0.09787498202450763,0.4235077359229529,0.5722271029097623,0.3848879476616077,0.30343698669397795,2734795.0,0.45308098282371295,1033419.0,126783.0,179234.0,7480994.0,0.13813926331180054,0.01694734683653001,0.02395858090515779,,,
