run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused
matmult_nextline_deg1_l1d_ddr4_1x,matmult,nextline,deg1,l1d,ddr4_1x,0.001262,1261844226.0,7397876.0,3789322.0,1.952298,1157993.0,2137475.0,5448.0,1118219.0,53469.0,9478.0,39572.0,nan,nan,nan
matmult_nextline_deg1_l1d_ddr4_2x,matmult,nextline,deg1,l1d,ddr4_2x,0.001271,1271346381.0,7397871.0,3817857.0,1.937705,1157158.0,2138600.0,5387.0,1118339.0,53082.0,9480.0,39403.0,nan,nan,nan
matmult_nextline_deg1_l2_ddr4_1x,matmult,nextline,deg1,l2,ddr4_1x,0.001199,1199258208.0,7397876.0,3601376.0,2.054183,1160502.0,2138778.0,2471.0,1078158.0,nan,nan,nan,5315.0,3032.0,40.0
matmult_nextline_deg1_l2_ddr4_2x,matmult,nextline,deg1,l2,ddr4_2x,0.001207,1207241883.0,7397871.0,3625351.0,2.040597,1159286.0,2138738.0,2382.0,1077826.0,nan,nan,nan,5278.0,3077.0,40.0
matmult_nextline_deg32_l1d_ddr4_1x,matmult,nextline,deg32,l1d,ddr4_1x,0.001257,1256978763.0,7397871.0,3774711.0,1.959853,1146112.0,2134353.0,5720.0,1094354.0,123103.0,7741.0,18665.0,nan,nan,nan
matmult_nextline_deg32_l1d_ddr4_2x,matmult,nextline,deg32,l1d,ddr4_2x,0.001256,1255654422.0,7397871.0,3770734.0,1.96192,1149180.0,2136563.0,5750.0,1095684.0,117999.0,7461.0,18734.0,nan,nan,nan
matmult_nextline_deg32_l2_ddr4_1x,matmult,nextline,deg32,l2,ddr4_1x,0.001165,1165004163.0,7397876.0,3498511.0,2.114581,1160529.0,2139538.0,899.0,1078479.0,nan,nan,nan,105613.0,4711.0,285.0
matmult_nextline_deg32_l2_ddr4_2x,matmult,nextline,deg32,l2,ddr4_2x,0.001159,1158733440.0,7397876.0,3479680.0,2.126025,1159848.0,2139536.0,821.0,1078484.0,nan,nan,nan,110481.0,4775.0,318.0
matmult_nextline_deg4_l1d_ddr4_1x,matmult,nextline,deg4,l1d,ddr4_1x,0.001243,1242562860.0,7397871.0,3731420.0,1.982591,1147590.0,2137794.0,5438.0,1096637.0,39694.0,13538.0,19030.0,nan,nan,nan
matmult_nextline_deg4_l1d_ddr4_2x,matmult,nextline,deg4,l1d,ddr4_2x,0.001258,1257900174.0,7397876.0,3777478.0,1.958419,1145626.0,2136626.0,5359.0,1095392.0,39360.0,13108.0,18886.0,nan,nan,nan
