benchmark,pf_level,memory,run,prefetcher,config,simSeconds,simTicks,simInsts,simOps,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_demand_miss_latency,l1d_demand_avg_miss_latency,l2_demand_miss_latency,l2_demand_avg_miss_latency,l1d_blocked_cycles_no_mshrs,l1d_blocked_causes_no_mshrs,l1d_avg_blocked_no_mshrs,l2_blocked_cycles_no_mshrs,l2_blocked_causes_no_mshrs,l2_avg_blocked_no_mshrs,l1d_demand_mshr_hits,l1d_demand_mshr_misses,l1d_demand_mshr_miss_rate,l1d_demand_avg_mshr_miss_latency,l2_demand_mshr_hits,l2_demand_mshr_misses,l2_demand_mshr_miss_rate,l2_demand_avg_mshr_miss_latency,mem_avg_rdq_len,mem_avg_wrq_len,mem_num_rd_retry,mem_num_wr_retry,mem_avg_read_bw_sys,mem_avg_write_bw_sys,dram_bw_read_total,dram_bw_write_total,dram_bw_total,dram_peak_bw,dram_avg_rd_bw,dram_avg_wr_bw,dram_avg_q_lat,dram_avg_bus_lat,dram_avg_mem_acc_lat,load_to_use_samples,load_to_use_mean,load_to_use_stdev,load_to_use_overflows,load_to_use_min,load_to_use_max,added_loads_and_stores,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l1d_prefetcher_accuracy,l1d_prefetcher_coverage,l1d_pf_late,l1d_pf_hit_in_cache,l1d_pf_hit_in_mshr,l1d_pf_hit_in_wb,l1d_pf_identified,l1d_pf_buffer_hit,l1d_pf_in_cache,l1d_pf_removed_demand,l1d_pf_removed_full,l1d_pf_span_page,l1d_pf_useful_span_page,l2_pf_issued,l2_pf_useful,l2_pf_unused,l2_prefetcher_accuracy,l2_prefetcher_coverage,l2_pf_late,l2_pf_hit_in_cache,l2_pf_hit_in_mshr,l2_pf_hit_in_wb,l2_pf_identified,l2_pf_buffer_hit,l2_pf_in_cache,l2_pf_removed_demand,l2_pf_removed_full,l2_pf_span_page,l2_pf_useful_span_page,l1d_prefetcher_read_bytes,l1d_prefetcher_read_rate,l1d_prefetcher_read_accesses,l1d_prefetcher_read_avg_lat,l2_prefetcher_read_bytes,l2_prefetcher_read_rate,l2_prefetcher_read_accesses,l2_prefetcher_read_avg_lat,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,pf_coverage,pf_late,pf_late_ratio,pf_removed_full,pf_removed_demand,pf_buffer_hit,pf_identified,pf_removed_full_ratio,pf_removed_demand_ratio,pf_buffer_hit_ratio,prefetcher_read_rate,prefetcher_read_bytes,dram_bw_utilization
merge,l2,ddr4_1x,merge_nextline_deg4_l2_ddr4_1x,nextline,deg4,0.010069,10068504750.0,37919543.0,38898624.0,30235750.0,1.254131,836280.0,11098971.0,26312.0,201563.0,17880262823.0,21380.713186,2558163609.0,97224.217429,0.0,0.0,,0.0,0.0,40.421053,634931.0,201349.0,0.018141,16643.096817,515.0,25797.0,0.127985,97143.020235,1.43,46.47,0.0,0.0,462254139.5732072,303571590.4091916,462254140.0,303571590.0,765825730.0,19207.0,459.63528,303.171134,34447.84,3332.0,51939.84,5213399.0,5.048488,30.259079,17710.0,2.0,1860.0,14710537.0,,,,,,,,,,,,,,,,,277774.0,45960.0,469.0,0.165458,0.640495,230835.0,144551.0,86282.0,2.0,277821.0,31.0,0.0,8.0,0.0,11267.0,7285.0,,,,,2992768.0,297240560.96810204,46922.0,41515.75,0.011631,1.1551296057205285,277774.0,45960.0,469.0,0.16545825023220315,0.0016884229625522907,0.07534752545979262,0.13053983121902332,0.6359309276068187,230835.0,0.831017301835305,0.0,8.0,31.0,277821.0,0.0,2.8795519417178686e-05,0.00011158263774156742,297240560.96810204,2992768.0,0.03802511217493973
merge,l2,ddr4_2x,merge_nextline_deg4_l2_ddr4_2x,nextline,deg4,0.010075,10074579003.0,37919543.0,38898624.0,30253991.0,1.253375,833865.0,11098933.0,26243.0,201566.0,16403135429.0,19671.212281,2348230752.0,89480.271006,0.0,0.0,,0.0,0.0,27.5,632516.0,201349.0,0.018141,15613.852957,443.0,25800.0,0.127998,89343.47407,,,,,,,,,,,,,,,,5213399.0,4.846012,28.40231,15823.0,2.0,1841.0,14710521.0,,,,,,,,,,,,,,,,,277787.0,46031.0,476.0,0.165706,0.640824,230843.0,155808.0,75033.0,2.0,277829.0,25.0,0.0,10.0,0.0,11267.0,7278.0,,,,,,,,,0.011697,1.1609925558312655,277787.0,46031.0,476.0,0.16570609855752788,0.0017135431103687357,0.07513019494756838,0.1301955686971017,0.636895702465617,230843.0,0.8310072105606093,0.0,10.0,25.0,277829.0,0.0,3.5993362823895276e-05,8.998340705973818e-05,,,
quick,l1d,ddr4_1x,quick_nextline_deg32_l1d_ddr4_1x,nextline,deg32,0.008227,8226964134.0,24424730.0,24707910.0,24705598.0,0.989067,8155.0,9130645.0,28938.0,92808.0,302304723.0,37069.861803,2922172278.0,100980.450549,393.0,12.0,32.75,0.0,0.0,,6191.0,1964.0,0.000215,22724.537169,,28938.0,0.311805,100647.462057,4.29,57.13,0.0,0.0,225117305.7077047,179281685.92645526,225109526.0,179281686.0,404391212.0,19207.0,225.07063,178.783811,55542.05,3332.0,73034.05,4368784.0,2.236844,5.321246,138.0,2.0,1272.0,14125886.0,1970185.0,83684.0,6714.0,0.042475,0.977069,1879574.0,1842251.0,37315.0,8.0,2213896.0,208124.0,0.0,1597.0,28084.0,725016.0,707908.0,,,,,,,,,,,,,,,,,1804480.0,219337287.8024996,28201.0,73727.49,,,,,0.009731,1.1828126899234228,1970185.0,83684.0,6714.0,0.042475199029532756,0.0034078018054142126,0.0008931461030409133,0.3118050168088958,0.9112033014296759,1879574.0,0.954008887490261,28084.0,1597.0,208124.0,2213896.0,0.01268532939216657,0.0007213527645381716,0.09400802928412175,219337287.8024996,1804480.0,0.02007900831284401
quick,l1d,ddr4_2x,quick_nextline_deg32_l1d_ddr4_2x,nextline,deg32,0.008223,8222858244.0,24424725.0,24707905.0,24693268.0,0.989561,8103.0,9130616.0,28943.0,92944.0,286278432.0,35329.931137,1971052180.0,68101.170577,122.0,8.0,15.25,0.0,0.0,,6130.0,1973.0,0.000216,21125.330968,,28943.0,0.311403,67768.182082,,,,,,,,,,,,,,,,4368784.0,2.230567,5.186406,88.0,2.0,1215.0,14125789.0,2001816.0,83693.0,6841.0,0.041809,0.976969,1911075.0,1886923.0,24145.0,7.0,2212340.0,185824.0,0.0,900.0,18244.0,725196.0,707869.0,,,,,,,,,,,,,,,,,,,,,,,,,0.00967,1.1759698406907455,2001816.0,83693.0,6841.0,0.04180853784763435,0.003417397003520803,0.0008874538147261915,0.31140256498536756,0.9117281798771188,1911075.0,0.9546706590415902,18244.0,900.0,185824.0,2212340.0,0.008246472061256407,0.00040680907997866513,0.08399432275328385,,,
quick,l2,ddr4_1x,quick_nextline_deg8_l2_ddr4_1x,nextline,deg8,0.008567,8566759998.0,24424725.0,24707905.0,25726006.0,0.949836,228062.0,9206201.0,802.0,82874.0,1377978309.0,6042.12148,83009568.0,103503.201995,0.0,0.0,,398.0,11.0,36.181818,145428.0,82634.0,0.008976,5206.0577,230.0,572.0,0.006902,109666.438811,1.91,56.14,0.0,0.0,217196699.85319927,172842941.82931304,217159346.0,172842942.0,390002288.0,19207.0,217.159346,172.424581,23222.24,3332.0,40714.24,4368784.0,2.65919,8.792695,662.0,2.0,1435.0,14605350.0,,,,,,,,,,,,,,,,,211744.0,27697.0,756.0,0.130804,0.979766,183123.0,162946.0,20177.0,0.0,211912.0,109.0,0.0,10.0,39.0,16080.0,15971.0,,,,,1823680.0,212878614.6017581,28500.0,39871.53,0.009731,1.1358701996031284,211744.0,27697.0,756.0,0.13080417863079946,0.0035703491008009674,0.024772650521099854,0.009677341506383184,0.9718586617074283,183123.0,0.8648320613571104,39.0,10.0,109.0,211912.0,0.00018403865755596663,4.7189399373324774e-05,0.0005143644531692401,212878614.6017581,1823680.0,0.01936456320119089
quick,l2,ddr4_2x,quick_nextline_deg16_l2_ddr4_2x,nextline,deg16,0.00855,8550381726.0,24424725.0,24707905.0,25676822.0,0.951655,227922.0,9206153.0,761.0,82875.0,1200276522.0,5266.172296,58267003.0,76566.363995,0.0,0.0,,316.0,16.0,19.75,145288.0,82634.0,0.008976,4940.819094,196.0,565.0,0.006817,87449.327434,,,,,,,,,,,,,,,,4368784.0,2.60412,6.078747,152.0,2.0,1374.0,14605091.0,,,,,,,,,,,,,,,,,394872.0,27747.0,1170.0,0.070268,0.980044,365843.0,349549.0,16294.0,0.0,395588.0,403.0,0.0,26.0,268.0,60540.0,59950.0,,,,,,,,,0.00967,1.1309941520467837,394872.0,27747.0,1170.0,0.07026834012034279,0.0029629854737737798,0.02475757246267795,0.009182503770739064,0.9733057387400028,365843.0,0.9264850381895906,268.0,26.0,403.0,395588.0,0.0006774725219167416,6.57249461561018e-05,0.0010187366654195778,,,
simple_triad,l1d,ddr4_1x,simple_triad_nextline_deg4_l1d_ddr4_1x,nextline,deg4,0.002637,2636526168.0,3509906.0,4011114.0,7917497.0,0.443312,1931944.0,2003784.0,375529.0,375548.0,118348513351.0,61258.770105,36409884936.0,96956.253541,287.0,7.0,41.0,0.0,0.0,,1925713.0,6231.0,0.00311,74144.419355,,375529.0,0.999949,96623.252654,10.71,58.59,0.0,0.0,9115728222.88028,3102652307.9060903,9115703949.0,3102652308.0,12218356256.0,19207.0,9115.728223,3102.676582,51330.23,3332.0,68822.23,1001734.0,181.451566,157.524728,157494.0,2.0,1838.0,2004855.0,490421.0,9050.0,92.0,0.018454,0.592239,121367.0,428.0,120939.0,0.0,7471734.0,6118898.0,0.0,324774.0,0.0,292246.0,4624.0,,,,,,,,,,,,,,,,,23618880.0,8958333236.615158,369045.0,69237.8,,,,,0.002897,1.0985968904057641,490421.0,9050.0,92.0,0.01845353278101876,0.00018759392440372658,0.964147832301286,0.9999494072661816,0.004662559492713527,121367.0,0.24747512851203354,0.0,324774.0,6118898.0,7471734.0,0.0,0.04346701849932024,0.8189394858007526,8958333236.615158,23618880.0,0.6066711381292669
simple_triad,l1d,ddr4_2x,simple_triad_nextline_deg32_l1d_ddr4_2x,nextline,deg32,0.001919,1919434977.0,3510084.0,4011327.0,5764069.0,0.608963,1213692.0,2003869.0,375920.0,376173.0,66310010535.0,54634.95725,26395028939.0,70214.484303,507530.0,30462.0,16.661086,0.0,0.0,,1111187.0,102505.0,0.051154,73858.712804,,375920.0,0.999327,69881.478102,,,,,,,,,,,,,,,,1001765.0,75.012502,120.598974,37093.0,2.0,1854.0,2004993.0,1174029.0,151206.0,687.0,0.128792,0.595977,900621.0,480784.0,419837.0,0.0,34501470.0,16128318.0,0.0,48711.0,16566269.0,9175266.0,1793341.0,,,,,,,,,,,,,,,,,,,,,,,,,0.002605,1.3574778530484628,1174029.0,151206.0,687.0,0.12879238928510284,0.0005851644209810831,0.6056743230221138,0.9993274371100531,0.11078190458188085,900621.0,0.7671198922684193,16566269.0,48711.0,16128318.0,34501470.0,0.48016125110031543,0.0014118528862683243,0.46746756007787493,,,
simple_triad,l2,ddr4_1x,simple_triad_nextline_deg8_l2_ddr4_1x,nextline,deg8,0.002381,2381158458.0,3510062.0,4011305.0,7150626.0,0.490877,1968478.0,2003886.0,337389.0,375375.0,97815742344.0,49691.05184,19677319308.0,58322.349893,0.0,0.0,,1147.0,20.0,57.35,1593373.0,375105.0,0.187189,53626.883545,330485.0,6904.0,0.018392,147699.196842,14.8,98.33,0.0,0.0,10104527029.338928,3436525600.599068,10104500152.0,3436525601.0,13541025752.0,19207.0,10104.527029,3437.197542,70182.54,3332.0,87674.54,1001758.0,141.038303,147.043663,110236.0,2.0,1899.0,2005062.0,,,,,,,,,,,,,,,,,526192.0,37976.0,138.0,0.072171,0.846168,157093.0,30086.0,127007.0,0.0,2791774.0,1943138.0,0.0,317827.0,36.0,211146.0,18371.0,,,,,23618560.0,9918936692.620564,369040.0,87062.07,0.002897,1.2167156656866862,526192.0,37976.0,138.0,0.07217137470733116,0.0002622616839480646,0.9823303321646042,0.8988051948051948,0.10117086036258043,157093.0,0.29854691823516893,36.0,317827.0,1943138.0,2791774.0,1.2895026603156272e-05,0.11384410056114858,0.6960226723223298,9918936692.620564,23618560.0,0.6723448991241749
simple_triad,l2,ddr4_2x,simple_triad_nextline_deg8_l2_ddr4_2x,nextline,deg8,0.001541,1541219904.0,3510083.0,4011326.0,4628288.0,0.758402,1962503.0,2003908.0,336557.0,375372.0,62350070184.0,31770.687833,12409539702.0,36872.029707,0.0,0.0,,221.0,12.0,18.416667,1587398.0,375105.0,0.187187,34346.839149,330433.0,6124.0,0.016314,74649.692685,,,,,,,,,,,,,,,,1001759.0,91.776022,116.431263,51614.0,2.0,1744.0,2005095.0,,,,,,,,,,,,,,,,,574939.0,38805.0,138.0,0.067494,0.863696,205063.0,36635.0,168428.0,0.0,2791750.0,1903509.0,0.0,303394.0,17.0,211146.0,2294.0,,,,,,,,,0.002605,1.690460739779364,574939.0,38805.0,138.0,0.06749411676717008,0.00024002546357091795,0.9793378737946054,0.8965959101904244,0.10338020364341623,205063.0,0.356669142291617,17.0,303394.0,1903509.0,2791750.0,6.089370466553237e-06,0.10867520372526193,0.681833616906958,,,
