benchmark,pf_level,memory,family,config,speedup_vs_nopf,l1d_miss_rate,l2_miss_rate,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_coverage,pf_unused_ratio,pf_late,pf_late_ratio,pf_removed_full,pf_removed_full_ratio,pf_buffer_hit,pf_buffer_hit_ratio,blocked_cycles_no_mshrs,blocked_causes_no_mshrs,avg_blocked_no_mshrs,mem_avg_rdq_len,mem_avg_wrq_len,dram_bw_total,dram_bw_utilization,dram_avg_q_lat,dram_avg_mem_acc_lat,prefetcher_read_rate,prefetcher_read_bytes
spmv,l1d,ddr4_1x,No prefetch,none,1.0,0.8623110735313319,0.30999615128931807,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
spmv,l1d,ddr4_1x,IMP,sdist16,1.7843434343434346,0.41043491197085336,0.1783693406168758,2610892.0,150638.0,1927141.0,0.057696,0.087286,0.7381159389204915,519335.0,0.19891094691009817,435204.0,0.046438358927014874,1891387.0,0.20182008523793413,807990.0,280568.0,2.879837,6.67,57.54,7064517136.0,0.35077047693106883,29111.83,46603.83,4524541566.956885,26877888.0
spmv,l1d,ddr4_1x,Next-line,deg16,1.7423968436626667,0.39838127259976225,0.1548932405759382,3465356.0,166523.0,2693965.0,0.048054,0.095901,0.7773992051610282,590705.0,0.17046012011464334,19046913.0,0.6633984210021469,5502627.0,0.1916548924838256,1013204.0,397732.0,2.547454,7.26,57.66,7260750245.0,0.3605139285935798,32186.38,49678.38,5127129860.167288,31188800.0
spmv,l1d,ddr4_1x,Stride,deg32_dist1,1.7111721020342268,0.3485130284837627,0.2717938703315218,4272257.0,163799.0,303332.0,0.03834,0.096136,0.07100041032175733,3805155.0,0.8906662216247758,374479.0,0.08052042548991739,3863.0,0.0008306217536031417,756867.0,124268.0,6.090603,6.23,57.44,5653975063.0,0.28073362853045813,35259.26,52751.26,2005107376.794282,12420480.0
spmv,l1d,ddr4_2x,No prefetch,none,1.0,0.8653077407090849,0.3100053312901663,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
spmv,l1d,ddr4_2x,IMP,s32_dist32_addr16,1.691976809425846,0.4074682435845845,0.1787388500598525,2672913.0,154709.0,2014339.0,0.05788029763782061,0.07293699779174516,0.7536118833647036,517770.0,0.19840036662894875,437819.0,0.046653641580677835,1872775.0,0.19956140234035966,671167.0,268261.0,2.501918,,,,,,,,
spmv,l1d,ddr4_2x,Next-line,deg16,1.6539305301645337,0.39878449219425083,0.15670047106308801,3418090.0,167080.0,2628956.0,0.048881,0.096273,0.7691301282295083,607855.0,0.1778346971554289,19079309.0,0.6646543191623994,5508387.0,0.1918923379860356,820447.0,372823.0,2.200634,,,,,,,,
spmv,l1d,ddr4_2x,Stride,deg32_dist1,1.592781690140845,0.34861756350812695,0.2712692689876359,4321198.0,163543.0,307488.0,0.037847,0.095972,0.07115804459781755,3850185.0,0.890999440432954,326315.0,0.07014298795822997,4482.0,0.00096342758386463,455864.0,100013.0,4.558047,,,,,,,,
spmv,l2,ddr4_1x,No prefetch,none,1.0,0.8623110735313319,0.30999615128931807,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
spmv,l2,ddr4_1x,IMP,s32_sth2_pt8,1.7738912133891214,0.4677975974453178,0.20358107991959848,362291.0,208368.0,16873.0,0.5751398737478988,0.3776041289125361,0.046573058673828494,159749.0,0.43608187198357756,914.0,0.0024617937156924535,601.0,0.0016187505723535718,98358.0,3181.0,30.920465,6.52,57.43,5791936922.0,0.2875837707479809,29687.99,47179.99,2136103665.9748013,13219392.0
spmv,l2,ddr4_1x,Next-line,default,1.3842235862609378,0.456303572541942,0.17791887033229392,1151090.0,290540.0,41283.0,0.252404,0.512871,0.03586426778097282,794847.0,0.6905168144975632,1316.0,0.001140907246668308,113.0,9.796543987349454e-05,13349.0,903.0,14.782946,7.69,57.47,5297849055.0,0.26305110511535496,50127.76,67619.76,2976922511.93779,22794944.0
spmv,l2,ddr4_1x,Stride,deg32_dist1,1.6191567369385886,0.44995232430163856,0.20901053105817424,4516563.0,192429.0,10995.0,0.042605,0.353073,0.002434373216979371,4313102.0,0.954952250195558,125215.0,0.026974939792985677,117.0,2.520519071819929e-05,318187.0,10297.0,30.900942,6.81,57.43,5452409361.0,0.2707254006413658,42295.25,59787.25,1989145945.0794995,13021504.0
spmv,l2,ddr4_2x,No prefetch,none,1.0,0.8653077407090849,0.3100053312901663,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
spmv,l2,ddr4_2x,IMP,s32_sth2_dist32_ipd16,1.7056938159879336,0.4677728937425428,0.20429205003360945,378169.0,207279.0,16856.0,0.5481120874529641,0.375556461475744,0.044572664602333875,166592.0,0.4464238818768926,705.0,0.0018661901925749453,495.0,0.0013103037522334722,73392.0,2948.0,24.895522,,,,,,,,
spmv,l2,ddr4_2x,Next-line,deg32,1.397867737948084,0.46632748350769176,0.12845112796215272,11898254.0,649439.0,465352.0,0.054583,0.762661,0.03911094854757681,10768264.0,0.9050289227310159,6721088.0,0.3436382206184732,824228.0,0.04214142759385429,716863.0,25634.0,27.965319,,,,,,,,
spmv,l2,ddr4_2x,Stride,deg32_dist16,1.5407016348773843,0.5480966241622557,0.23710698423934987,3072068.0,144333.0,9131.0,0.046982,0.265194,0.002972264936843846,2918571.0,0.9500346346500143,53864.0,0.017129003042668595,18665.0,0.005935556991523268,209668.0,9217.0,22.747966,,,,,,,,
bfs,l1d,ddr4_1x,No prefetch,none,1.0,0.6774030303516797,0.414180139733145,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
bfs,l1d,ddr4_1x,IMP,s16_sth8,1.2211177380163465,0.47927836341387603,0.37731393505393834,5222776.0,440969.0,2596783.0,0.08443191896416771,0.07426164672042734,0.4972035944103289,2007484.0,0.38432941974697427,3029705.0,0.07527122764618165,13979724.0,0.34731796912068635,7262457.0,1133745.0,6.405724,8.06,57.69,7203452481.0,0.3576689550987963,40483.57,57975.57,3415559263.440301,77342272.0
bfs,l1d,ddr4_1x,Next-line,deg32,1.2059862995767705,0.43868811869725144,0.4635517035061627,6975209.0,448416.0,3559860.0,0.064287,0.125231,0.5103589010737886,2795598.0,0.40079057129327594,61841929.0,0.4819341055156511,55745046.0,0.4344211009481742,11656016.0,1881958.0,6.193558,10.03,57.87,9910999934.0,0.4921052786463185,40724.11,58216.11,6119774122.479308,140257088.0
bfs,l1d,ddr4_1x,Stride,default,1.336427811623634,0.4574839242346067,0.4220263843591304,1561537.0,225039.0,171084.0,0.144114,0.066842,0.10956128481105475,982691.0,0.6293100963986124,82.0,3.61109080484168e-05,466889.0,0.2056071432660643,1809486.0,282128.0,6.413706,6.0,57.41,5340942945.0,0.26519082168155667,34974.25,52466.25,1125182016.83385,23270784.0
bfs,l1d,ddr4_2x,No prefetch,none,1.0,0.6673502340899302,0.41414800364097615,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
bfs,l1d,ddr4_2x,IMP,s32_sth2_pt8,1.2899523492340013,0.4641839022287944,0.39300962077808366,5750517.0,472751.0,2840670.0,0.08221017345049149,0.08213541551745376,0.4939851495091659,2025398.0,0.37848631858623055,2838538.0,0.07287435589469397,13195359.0,0.33876710050182635,5040284.0,1032758.0,4.880411,,,,,,,,
bfs,l1d,ddr4_2x,Next-line,deg32,1.2937972146564571,0.43348311817695134,0.47422554750795776,7615469.0,465306.0,3852565.0,0.0611,0.130114,0.5058867681031858,3113203.0,0.408799904510149,60339396.0,0.4781434586102866,54560955.0,0.4323537432953457,8238383.0,1729610.0,4.763145,,,,,,,,
bfs,l1d,ddr4_2x,Stride,default,1.3521671410924325,0.4532833550140161,0.42181422681692704,1624999.0,228574.0,170049.0,0.140661,0.067824,0.10464560285883252,1046757.0,0.6441585502514156,37.0,1.6479065129273813e-05,405569.0,0.1806323774436338,1235102.0,213679.0,5.780175,,,,,,,,
bfs,l2,ddr4_1x,No prefetch,none,1.0,0.6774030303516797,0.414180139733145,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
bfs,l2,ddr4_1x,IMP,s32_ipd8_addr8,1.0854539742381402,0.5792699590185963,0.38196478548907076,2115865.0,373340.0,1037232.0,0.1764479302791057,0.2169250837422395,0.49021653082781746,626065.0,0.3405345837886468,182535.0,0.05999057424784601,513125.0,0.16863978640220223,3370801.0,167679.0,20.102702,9.55,58.93,6665185249.0,0.3309426764232361,49259.74,66751.74,3033837876.60633,77380352.0
bfs,l2,ddr4_1x,Next-line,deg1,1.1447978793903248,0.585978876332267,0.40301625492793924,1645588.0,278485.0,783983.0,0.169231,0.189856,0.4764151172711517,349939.0,0.2126528632926346,0.0,0.0,0.0,0.0,2726455.0,131577.0,20.721365,8.27,57.63,7006139368.0,0.347871878608024,40073.43,57565.43,3422539711.8519573,82633984.0
bfs,l2,ddr4_1x,Stride,default,1.2889987408478292,0.5736305184220931,0.36128854071800565,1146942.0,215245.0,82845.0,0.187669,0.150542,0.07223120262402109,787977.0,0.6870242784726691,0.0,0.0,7802.0,0.006728565095978212,13149.0,512.0,25.681641,5.89,57.55,5159252556.0,0.25616945147657094,34659.86,52151.86,1070893067.902617,22963008.0
bfs,l2,ddr4_2x,No prefetch,none,1.0,0.6673502340899302,0.41414800364097615,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
bfs,l2,ddr4_2x,IMP,s32_sth2_pt8,1.1985717686265176,0.5785930740998653,0.3800263857625689,2194049.0,390793.0,1084190.0,0.17811498284678237,0.22563457975384144,0.4941503129601937,648823.0,0.3387258866049833,123376.0,0.04212482915468658,397558.0,0.13574003719588,2010672.0,130948.0,15.354736,,,,,,,,
bfs,l2,ddr4_2x,Next-line,deg32,1.2260043827611395,0.5666114561537069,0.3696340374516868,12750135.0,653595.0,2992167.0,0.051262,0.355678,0.2346772798876247,8984760.0,0.704679597510144,26084009.0,0.5679487867316897,6454583.0,0.14054099520165747,6641128.0,595223.0,11.157378,,,,,,,,
bfs,l2,ddr4_2x,Stride,default,1.311728234252071,0.5752817397099691,0.36068778836304966,1144358.0,217106.0,82032.0,0.189719,0.151621,0.0716838611693194,786671.0,0.6874343518374495,0.0,0.0,7061.0,0.006105738841094277,6726.0,304.0,22.125,,,,,,,,
merge,l1d,ddr4_1x,No prefetch,none,1.0,0.0951809118436763,0.3578311220490022,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,0.0,0.0
merge,l1d,ddr4_1x,IMP,s32_sth8_pt8,1.1668338683788124,0.07108051836804978,0.3439379179858002,202153.0,75622.0,6754.0,0.374082996542223,0.08845019749300266,0.03341033771450337,128945.0,0.5919741807530919,1766.0,0.0009397040943109591,1103473.0,0.5871676648140413,38359.0,1424.0,26.9375,7.34,47.97,775995590.0,0.038530070486151646,47006.32,64498.32,238901282.33525488,2397952.0
