run,benchmark,prefetcher,config,pf_level,memory,simSeconds,simTicks,simInsts,numCycles,ipc,l1d_demand_misses,l1d_demand_accesses,l2_demand_misses,l2_demand_accesses,l1d_pf_issued,l1d_pf_useful,l1d_pf_unused,l2_pf_issued,l2_pf_useful,l2_pf_unused,nopf_simSeconds,speedup_vs_nopf,pf_issued,pf_useful,pf_unused,pf_accuracy,pf_unused_ratio,l1d_miss_rate,l2_miss_rate,label
quick_nextline_deg32_l1d_ddr4_1x,quick,nextline,deg32,l1d,ddr4_1x,0.008227,8226964134.0,24424730.0,24705598.0,0.989067,8155.0,9130645.0,28938.0,92808.0,1970185.0,83684.0,6714.0,,,,0.009731,1.1828126899234228,1970185.0,83684.0,6714.0,0.0424751990295327,0.0034078018054142,0.0008931461030409,0.3118050168088958,next-line: deg32
quick_nextline_deg16_l1d_ddr4_1x,quick,nextline,deg16,l1d,ddr4_1x,0.008228,8228261502.0,24424730.0,24709494.0,0.988911,8368.0,9130786.0,28841.0,88708.0,1176477.0,82587.0,3760.0,,,,0.009731,1.1826689353427322,1176477.0,82587.0,3760.0,0.0701985674178075,0.0031959825818949,0.0009164599849344,0.3251228750507282,next-line: deg16
quick_nextline_deg8_l1d_ddr4_1x,quick,nextline,deg8,l1d,ddr4_1x,0.008231,8230798296.0,24424725.0,24717112.0,0.988606,8609.0,9130858.0,28715.0,85612.0,654062.0,81396.0,1806.0,,,,0.009731,1.1822378811809011,654062.0,81396.0,1806.0,0.1244469178762869,0.00276120612419,0.0009428467729976,0.3354085875811802,next-line: deg8
quick_nextline_deg4_l1d_ddr4_1x,quick,nextline,deg4,l1d,ddr4_1x,0.00826,8260298100.0,24424725.0,24805700.0,0.985075,13166.0,9133503.0,28623.0,84251.0,353558.0,80463.0,885.0,,,,0.009731,1.178087167070218,353558.0,80463.0,885.0,0.2275807646835879,0.0025031253712262,0.0014415060683726,0.3397348399425526,next-line: deg4
quick_nextline_deg1_l1d_ddr4_1x,quick,nextline,deg1,l1d,ddr4_1x,0.008491,8490551283.0,24424730.0,25497151.0,0.958362,97309.0,9178882.0,28522.0,83192.0,161779.0,69551.0,220.0,,,,0.009731,1.1460369803321164,161779.0,69551.0,220.0,0.4299136476304094,0.0013598798360726,0.0106014000397869,0.3428454659101836,next-line: deg1
quick_nopf_ddr4_1x,quick,none,none,l1d,ddr4_1x,0.009731,,,,,,,,,,,,,,,0.009731,1.0,0.0,0.0,0.0,,,,,No prefetch baseline
